FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.96499Co0.05096Fe0.0Y0.0Zr0.94904O3,01137,1,1,1,4.167685,0.065449998,0.52673697,1284.4697,10.395061,30.292386999999998,5.4000001,44.139998999999996,0.8899962562551418,2.1499909561219717,1.4899937323822037,137.3264223401684,1.358028,1.539808,0.8553286666666666,89.5784605772,0.9649940592039857,0.6553592829125333,1.3962721041337436,1.7420130885930831,1.5330294967708058,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.93181Co0.04457Fe0.0Y0.0Zr0.95543O3,01137,2,1,2,4.167784200000001,0.06741,0.52867049,1299.3535,10.454228,30.291646999999998,9.397999800000001,44.139998999999996,0.8899989263184044,2.149997406274797,1.4899982024881153,137.32683433092978,1.3545135000000001,1.541086,0.8559144166666667,89.78479882115,0.9318111241218591,0.657061687697025,1.395118381631393,1.740826154431268,1.5295109654862937,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.92432Co0.04606Fe0.0Y0.0Zr0.95394O3,01137,3,1,3,4.1682668,0.068089999,0.53009772,1317.4133,10.424562,30.288057000000002,13.39599,44.139998999999996,0.8899952253155463,2.149988465649915,1.4899920064271506,137.3262632661888,1.3553330000000001,1.540788,0.8557778333333333,89.7366855217,0.9243249588314731,0.6566616656685451,1.3953824053990005,1.7410967524404024,1.5303246656350011,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.93475Co0.05436Fe0.0Y0.0Zr0.94564O3,01137,4,1,4,4.1689219,0.066430002,0.48951969,1345.9008,10.177905,30.283182,17.393998999999997,44.139998999999996,0.8900018720126255,2.1500045222776905,1.4900031340436088,137.3272888515481,1.359898,1.539128,0.855017,89.46867184020002,0.9347480338650326,0.654462225852693,1.3968978033520867,1.742659074665894,1.534920391987358,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.92966Co0.04543Fe0.0Y0.0Zr0.95457O3,01137,5,1,5,4.1687856,0.065350004,0.49058509,1244.3765,9.8101282,30.284197,21.391991,44.139998999999996,0.8899980082879637,2.149995188560811,1.4899966655607482,137.32669267883279,1.3549865,1.5409140000000001,0.8558355833333334,89.75702872885,0.9296620804709611,0.6568316424465953,1.3952726684038246,1.7409847108219847,1.5299826055259422,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.96824Co0.04504Fe0.0Y0.0Zr0.95496O3,01137,6,1,6,4.1725364,0.06126,0.54594237,887.7733800000001,7.506564599999999,30.256323,25.389999,44.139998999999996,0.8900001468036249,2.15000035463797,1.4900002457723607,137.32702265179933,1.354772,1.5409920000000001,0.8558713333333334,89.76962214280002,0.9682398402908784,0.6569372165970546,1.395205396678224,1.7409161724920807,1.5297716462852868,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.99327Co0.04716Fe0.0Y0.0Zr0.95284O3,01137,7,1,7,,0.055929999999999994,,,,,29.38802,44.139998999999996,0.8899983882708759,2.14999610649706,1.489997301711916,137.32675131019616,1.355938,1.5405680000000002,0.855677,89.70116563620002,0.9932717987472879,0.656371005363723,1.3955866320065453,1.741308112420827,1.5309360846786615,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.96442Co0.04271Fe0.0Y0.0Zr0.95729O3,01137,8,1,8,,0.053160001,,,,,33.386009,44.139998999999996,0.8899963207360482,2.1499911118904533,1.489993840333384,137.3264322895722,1.3534905,1.541458,0.8560849166666666,89.84485971845001,0.9644239869330444,0.6575563853134161,1.3947776143692876,1.7404743516974521,1.5284840192295572,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.99806Co0.04682Fe0.0Y0.0Zr0.95318O3,01137,9,1,9,,0.04721,,,,,37.384009999999996,44.139998999999996,0.8899995838115694,2.149998994600982,1.4899993032350993,137.32693578212516,1.3557510000000002,1.5406360000000001,0.8557081666666666,89.7121445099,0.998060466720471,0.6564624210578265,1.3955269087578,1.7412470293923408,1.5307507866671355,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.99601Co0.05066Fe0.0Y0.0Zr0.94934O3,01137,10,1,10,,0.043200000999999995,,,,,41.381989000000004,44.139998999999996,0.8899982520685158,2.1499957774688863,1.48999707368774,137.32673029417197,1.357863,1.539868,0.8553561666666666,89.5881478187,0.9960119561355694,0.6554403883665111,1.3962208302717416,1.7419609885952851,1.5328671664479636,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
