FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.93645Co0.25359Fe0.39778Y0.13863Zr0.21O3,01228,1,1,1,4.0973992,0.14805999,0.5663473000000001,0.43487212,1609.3793,852.45929,8.403654099999999,30.824803999999997,37.983677,5.4000001,44.141998,0.8900037542939478,2.150009069361784,1.4900062852786318,137.32757928755615,1.6531152000000002,1.4742725,0.8587243000000001,68.64095100555,0.9364460497823177,0.5383797537485274,1.458352556506198,1.7351393052212818,2.000665452267007,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.92213Co0.25149Fe0.39524Y0.14408Zr0.20919O3,01228,2,1,2,4.0978489,0.15166999,0.59090781,0.40950978,694.45959,439.64917,4.2451644,30.821337,38.036232,9.397999800000001,44.141998,0.89000117266652,2.150002832846088,1.4900019632282189,137.32718094244404,1.6500906999999998,1.476436,0.8599168500000001,68.78599043854999,0.9221287850005018,0.5393650013702399,1.4562113311014413,1.732727952973847,1.9964411367330006,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.9355Co0.25448Fe0.39818Y0.14132Zr0.20603O3,01228,3,1,3,,0.15036,,,,,,,,13.39599,44.141998,0.8900047252972796,2.15001141504399,1.4900079108909512,137.32772911337025,1.6535221,1.4747225,0.8591325166666667,68.59273700559999,0.9354950331549041,0.538247856074787,1.4579091422582826,1.7343167462360836,2.0020739091102118,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.92443Co0.25459Fe0.39513Y0.13962Zr0.21067O3,01228,4,1,4,,0.14751001,,,,,,,,17.393998999999997,44.141998,0.890003386350877,2.1500081805105453,1.4900056692840524,137.3275225139403,1.6522446,1.4747329999999998,0.8588393083333334,68.70103182205,0.9244264826601908,0.538663213879396,1.4578965687419658,1.7349062331294112,1.9989149925673202,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.92023Co0.25594Fe0.39604Y0.13726Zr0.21077O3,01228,5,1,5,,0.13992000000000002,,,,,,,,21.391991,44.141998,0.8899996422671508,2.1499991358139035,1.4899994010989377,137.32694480182136,1.6537017,1.4737365,0.8582839333333335,68.6307151793,0.9202303698838564,0.5381863260267258,1.4588762209620942,1.7360215462873678,2.0009545936254662,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94735Co0.2607Fe0.40572Y0.13598Zr0.1976O3,01228,6,1,6,,0.12985,,,,,,,,25.389999,44.141998,0.8899967504845123,2.1499921500468555,1.4899945597999138,137.32649859976024,1.6612872,1.470997,0.857536,68.1365972195,0.9473534589210529,0.5357272062798728,1.4615883989204976,1.7375300393218638,2.0154587138739415,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.95035Co0.26878Fe0.40967Y0.13759Zr0.18397O3,01228,7,1,7,,0.11793,,,,,,,,29.38802,44.141998,0.890001483236258,2.1500035830988256,1.4900024831708139,137.3272288633546,1.6675424,1.4692065,0.8570641083333332,67.7331204836,0.9503484161896307,0.5337204518675255,1.4633773966415378,1.7384959522669865,2.0274753013424975,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94442Co0.26827Fe0.4157Y0.12746Zr0.18858O3,01228,8,1,8,,0.10565999999999999,,,,,,,,33.386009,44.141998,0.8900025629015585,2.150006191279046,1.490004290700362,137.32739545571047,1.6713912,1.4658715,0.8552422333333333,67.55973628365,0.9444172803949216,0.5324920718151194,1.4667085015835601,1.7422014870489078,2.0326810465798815,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.96148Co0.27171Fe0.42515Y0.1296Zr0.17354O3,01228,9,1,9,,0.09325999800000001,,,,,,,,37.384009999999996,44.141998,0.8899963738969001,2.149991240312736,1.4899939293330124,137.32644049229168,1.6777595,1.4642855,0.855232625,67.10845128345,0.9614839173481048,0.530467193836125,1.4682869155726366,1.7422089450025513,2.0463360108290645,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93842Co0.27508Fe0.4433Y0.12046Zr0.16116O3,01228,10,1,10,4.0785699,0.08127000200000001,0.56181723,0.54398823,862.94275,364.80429,7.794256699999999,30.970672999999998,38.16457,41.381989000000004,44.141998,0.8899993994213504,2.149998549163936,1.4899989945368675,137.32690733071436,1.6896934,1.458604,0.8531423833333334,66.3786903116,0.9384206332532548,0.5267224216069912,1.474011142958566,1.7464833814905036,2.0688402661466165,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
