FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.75919Co0.0Fe0.0Y0.18006Zr0.81994O3,01300,1,1,1,0.38532999,10.11848,5.4000001,44.141998,0.8899987253028592,2.1499969206754463,1.489997865956472,137.32680331423117,1.3101934,1.595015,0.8924108,90.806593911,0.7591910873468634,0.6792880541932659,1.3479477752092903,1.6696322657194111,1.5122999046613936,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.74694Co0.0Fe0.0Y0.18106Zr0.81894O3,01300,2,1,2,0.41857001,,9.397999800000001,44.141998,0.8900035442909213,2.1500085620511022,1.4900059337005314,137.32754688408917,1.3100834,1.5952650000000002,0.8925908,90.804275761,0.7469370254358224,0.6793487683997228,1.34774383068086,1.669304605985779,1.5123467010027152,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.74769Co0.0Fe0.0Y0.18311Zr0.81689O3,01300,3,1,3,0.44488999,,13.39599,44.141998,0.8899978762873696,2.1499948696829714,1.4899964445709895,137.32667231114112,1.3098579000000001,1.5957775,0.8929598,90.79952355350001,0.7476917841376243,0.6794613952302532,1.3473024088151206,1.6686041684866324,1.5124162213277126,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.7434Co0.0Fe0.0Y0.18357Zr0.81643O3,01300,4,1,4,0.46825999,,17.39397,44.141998,0.8899975545210552,2.1499940923823244,1.4899959058835643,137.32662266259882,1.3098073,1.5958925000000002,0.8930426,90.7984572045,0.7434020426674638,0.6794873982768727,1.3472048351516936,1.668448857740453,1.5124334365429382,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.74406Co0.0Fe0.0Y0.18443Zr0.81557O3,01300,5,1,5,0.48118999999999995,,21.391991,44.141998,0.8900039322818225,2.1500094993324925,1.490006583258332,137.3276067510852,1.3097127,1.5961075,0.8931974,90.7964635955,0.7440567125385555,0.6795413469548112,1.3470330158416601,1.668171653050414,1.512477483295851,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.74424Co0.0Fe0.0Y0.18513Zr0.81487O3,01300,6,1,6,0.48767999,,25.389971,44.141998,0.8899982581263065,2.1499957921028754,1.4899970838294345,137.3267312288891,1.3096357,1.5962825,0.8933234,90.79484089050001,0.7442414566006909,0.6795769679509397,1.346876754022471,1.667925729729496,1.5124948717571658,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73851Co0.0Fe0.0Y0.18385Zr0.81615O3,01300,7,1,7,0.48095,,29.387990999999996,44.141998,0.8900016228500568,2.1500039203681145,1.4900027169062748,137.32725040576375,1.3097765000000001,1.5959625000000002,0.893093,90.79780812250002,0.7385086533833595,0.679506482861814,1.3471519038624744,1.6683623283423727,1.512451162042243,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.74141Co0.0Fe0.0Y0.18469Zr0.81531O3,01300,8,1,8,0.46829,,33.385979,44.141998,0.8900008542098524,2.1500020635406547,1.490001430081663,137.32713180458023,1.3096841,1.5961725000000002,0.8932441999999999,90.7958608765,0.7414092884054845,0.6795538360814279,1.3469735028893521,1.6680784829967696,1.512482292462338,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.74817Co0.0Fe0.0Y0.18408Zr0.81592O3,01300,9,1,9,0.44703001,,37.383990999999995,44.141998,0.8899952813189123,2.1499886009389453,1.4899921001855947,137.32627190750816,1.3097512,1.5960199999999998,0.8931344,90.797274948,0.7481739667352215,0.6795147668648155,1.3470937713430569,1.6682731066965897,1.5124492666344396,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.75092Co0.0Fe0.0Y0.18489Zr0.81511O3,01300,10,1,10,0.41914999,,41.381989000000004,44.141998,0.8899981065283317,2.149995425883048,1.4899968300305777,137.32670783732158,1.3096621000000002,1.5962225,0.8932802,90.7953972465,0.7509215975828879,0.6795631533724092,1.3469271519998296,1.6680061083079842,1.5124853461954018,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
