Point	Row	Column	_s_FWHM
1	1	1	0.1471609
2	1	2	0.1700352
3	1	3	0.16857833
4	1	4	0.17541495
5	1	5	0.16446933
6	1	6	0.16604525
7	1	7	0.16093384
8	1	8	0.16073214
9	1	9	0.16418335
10	1	10	0.16670127
11	1	11	0.25419635
12	2	1	0.18529136
13	2	2	0.19994925
14	2	3	0.19244327
15	2	4	0.18882672
16	2	5	0.18829706
17	2	6	0.20264146
18	2	7	0.16230296
19	2	8	0.18949498
20	2	9	0.17192803
21	2	10	0.16121231
22	2	11	0.15476732
23	3	1	0.19465195
24	3	2	0.19138584
25	3	3	0.17300144
26	3	4	0.18670397
27	3	5	0.19002777
28	3	6	0.18656179
29	3	7	0.19505802
30	3	8	0.20212339
31	3	9	0.15053765
32	3	10	0.17957751
33	3	11	0.17909519
34	4	1	0.17783067
35	4	2	0.19776614
36	4	3	0.18884799
37	4	4	0.20531182
38	4	5	0.18032326
39	4	6	0.18472324
40	4	7	0.20783883
41	4	8	0.1982801
42	4	9	0.18544513
43	4	10	0.1620259
44	4	11	0.17834716
