Point	Row	Column	Pos_200
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	43.706749
8	1	8	43.657413
9	1	9	
10	1	10	
11	1	11	
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	43.695293
20	2	9	43.660656
21	2	10	43.60437
22	2	11	43.563931
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	43.827282
30	3	8	43.699203
31	3	9	43.612797
32	3	10	43.594433
33	3	11	43.58968
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	43.762959
39	4	6	43.716263
40	4	7	43.665535
41	4	8	43.674431
42	4	9	43.602749
43	4	10	43.523689
44	4	11	43.537907
