Point	Row	Column	_s_Position
1	1	1	0.0012737378
2	1	2	0.0030741554
3	1	3	0.0014927282
4	1	4	0.0058658444
5	1	5	0.0041820272
6	1	6	0.0038375903
7	1	7	0.0065053161
8	1	8	0.0060281595
9	1	9	0.0085655432
10	1	10	0.0093827024
11	1	11	0.0083689317
12	2	1	0.003316375
13	2	2	0.0037089728
14	2	3	0.0031531893
15	2	4	0.0028625696
16	2	5	0.0050286721
17	2	6	0.0050059538
18	2	7	0.0051667811
19	2	8	0.0073041655
20	2	9	0.006778847
21	2	10	0.0084823938
22	2	11	0.0091718519
23	3	1	0.002636689
24	3	2	0.0029719942
25	3	3	0.0038564021
26	3	4	0.0038511434
27	3	5	0.0042386823
28	3	6	0.0059340666
29	3	7	0.0079300245
30	3	8	0.0080290241
31	3	9	0.009058116
32	3	10	0.0078835227
33	3	11	0.010768098
34	4	1	0.0051313932
35	4	2	0.0042881425
36	4	3	0.0048033651
37	4	4	0.006797987
38	4	5	0.006001329
39	4	6	0.0088406913
40	4	7	0.0086606331
41	4	8	0.01054106
42	4	9	0.010246454
43	4	10	0.011813989
44	4	11	0.010903778
