Point	Row	Column	110_s_Position
1	1	1	0.71969652
2	1	2	0.73228103
3	1	3	0.74678218
4	1	4	0.7655651
5	1	5	0.77891219
6	1	6	0.79650241
7	1	7	0.80707461
8	1	8	0.82306772
9	1	9	0.8306632
10	1	10	0.83540028
11	1	11	0.83784461
12	2	1	0.724994
13	2	2	0.73646641
14	2	3	0.75569218
15	2	4	0.77195692
16	2	5	0.79132372
17	2	6	0.80280769
18	2	7	0.81204981
19	2	8	0.8331933
20	2	9	0.84067369
21	2	10	0.85271287
22	2	11	0.85223699
23	3	1	0.73457718
24	3	2	0.74688393
25	3	3	0.76426107
26	3	4	0.78296697
27	3	5	0.79791647
28	3	6	0.8139354
29	3	7	0.82865143
30	3	8	0.8421281
31	3	9	0.84579009
32	3	10	0.8608737
33	3	11	0.86051399
34	4	1	0.74534237
35	4	2	0.7649076
36	4	3	0.77291012
37	4	4	0.78744853
38	4	5	0.8055774
39	4	6	0.82221383
40	4	7	0.827788
41	4	8	0.83685851
42	4	9	0.8497712
43	4	10	0.85052598
44	4	11	0.85062259
