Point	Row	Column	Norm_Int110
1	1	1	20.88629
2	1	2	20.375071
3	1	3	19.3647
4	1	4	18.62991
5	1	5	18.43651
6	1	6	17.02788
7	1	7	17.229773
8	1	8	16.621103
9	1	9	16.211796
10	1	10	15.980955
11	1	11	15.84274
12	2	1	20.936033
13	2	2	19.794489
14	2	3	18.63553
15	2	4	18.302256
16	2	5	18.08687
17	2	6	18.113131
18	2	7	18.467611
19	2	8	18.114117
20	2	9	18.176386
21	2	10	17.08709
22	2	11	16.927269
23	3	1	20.202387
24	3	2	20.192131
25	3	3	19.460815
26	3	4	18.675455
27	3	5	17.974745
28	3	6	18.11779
29	3	7	17.838291
30	3	8	17.344412
31	3	9	18.096056
32	3	10	18.201525
33	3	11	17.676239
34	4	1	19.860834
35	4	2	19.586704
36	4	3	19.834929
37	4	4	19.290543
38	4	5	18.780369
39	4	6	19.229939
40	4	7	19.708351
41	4	8	19.223192
42	4	9	18.995741
43	4	10	17.652023
44	4	11	16.251015
