Point	Row	Column	_s_Sigma
1	1	1	0.0966134
2	1	2	0.099364199
3	1	3	0.083082199
4	1	4	0.077573992
5	1	5	0.071752399
6	1	6	0.059736807
7	1	7	0.053227
8	1	8	0.045814201
9	1	9	0.042656004
10	1	10	0.036988404
11	1	11	0.032501597
12	2	1	0.10134581
13	2	2	0.097656198
14	2	3	0.088367604
15	2	4	0.0816622
16	2	5	0.075801007
17	2	6	0.064619601
18	2	7	0.060175605
19	2	8	0.0474074
20	2	9	0.041152395
21	2	10	0.040118802
22	2	11	0.030262204
23	3	1	0.09984199
24	3	2	0.093847193
25	3	3	0.084645011
26	3	4	0.079024211
27	3	5	0.067319795
28	3	6	0.062578201
29	3	7	0.058056396
30	3	8	0.0497512
31	3	9	0.039209399
32	3	10	0.031206196
33	3	11	0.033661
34	4	1	0.094268613
35	4	2	0.081705198
36	4	3	0.074395604
37	4	4	0.068566203
38	4	5	0.066092998
39	4	6	0.055873599
40	4	7	0.051622406
41	4	8	0.046648994
42	4	9	0.0452496
43	4	10	0.034778204
44	4	11	0.0324752
