Point	Row	Column	Zr_at
1	1	1	0.2096048
2	1	2	0.19999199
3	1	3	0.1931304
4	1	4	0.18578991
5	1	5	0.1744262
6	1	6	0.16530779
7	1	7	0.15384869
8	1	8	0.1459257
9	1	9	0.1372111
10	1	10	0.12627168
11	1	11	0.12126961
12	2	1	0.21334933
13	2	2	0.20831119
14	2	3	0.19914071
15	2	4	0.18611079
16	2	5	0.17904788
17	2	6	0.16810791
18	2	7	0.15645359
19	2	8	0.14722392
20	2	9	0.13643549
21	2	10	0.12927639
22	2	11	0.120868
23	3	1	0.2074925
24	3	2	0.20251431
25	3	3	0.19353321
26	3	4	0.18114252
27	3	5	0.17317578
28	3	6	0.1620741
29	3	7	0.1499491
30	3	8	0.14428419
31	3	9	0.1339422
32	3	10	0.1276944
33	3	11	0.1215045
34	4	1	0.19498911
35	4	2	0.1870282
36	4	3	0.17941709
37	4	4	0.17184232
38	4	5	0.164221
39	4	6	0.1549816
40	4	7	0.14745611
41	4	8	0.13961549
42	4	9	0.13248168
43	4	10	0.12478549
44	4	11	0.11873769
