Point	Row	Column	x_mm
1	1	1	5.4000001
2	1	2	9.3979998
3	1	3	13.39599
4	1	4	17.393999
5	1	5	21.391991
6	1	6	25.389999
7	1	7	29.38802
8	1	8	33.386009
9	1	9	37.38401
10	1	10	41.38401
11	1	11	45.381989
12	2	1	5.4000001
13	2	2	9.3979998
14	2	3	13.39599
15	2	4	17.393999
16	2	5	21.391991
17	2	6	25.389999
18	2	7	29.38802
19	2	8	33.386009
20	2	9	37.38401
21	2	10	41.381989
22	2	11	45.37999
23	3	1	5.4000001
24	3	2	9.3979998
25	3	3	13.39599
26	3	4	17.393999
27	3	5	21.391991
28	3	6	25.389999
29	3	7	29.38802
30	3	8	33.386009
31	3	9	37.38401
32	3	10	41.381989
33	3	11	45.37999
34	4	1	5.4000001
35	4	2	9.3979998
36	4	3	13.39599
37	4	4	17.393999
38	4	5	21.393999
39	4	6	25.389999
40	4	7	29.38802
41	4	8	33.386009
42	4	9	37.38401
43	4	10	41.381989
44	4	11	45.37999
