Point	Row	Column	Ratio_111_110
1	1	1	0.2570152
2	1	2	0.26055199
3	1	3	0.24850227
4	1	4	0.24382871
5	1	5	0.27649632
6	1	6	0.28149086
7	1	7	0.28729013
8	1	8	0.28239208
9	1	9	0.29281664
10	1	10	0.29872721
11	1	11	0.27552173
12	2	1	0.26445386
13	2	2	0.24928054
14	2	3	0.24484491
15	2	4	0.26129764
16	2	5	0.26723039
17	2	6	0.27354649
18	2	7	0.27169275
19	2	8	0.26816761
20	2	9	0.31151459
21	2	10	0.31774956
22	2	11	0.32706606
23	3	1	0.25134096
24	3	2	0.25551486
25	3	3	0.26779529
26	3	4	0.2811262
27	3	5	0.25273621
28	3	6	0.28344086
29	3	7	0.3001557
30	3	8	0.25078058
31	3	9	0.28297982
32	3	10	0.30223453
33	3	11	0.31839842
34	4	1	0.17815056
35	4	2	0.17146064
36	4	3	0.18394284
37	4	4	0.18407626
38	4	5	0.2122722
39	4	6	0.26259735
40	4	7	0.32004738
41	4	8	0.23476984
42	4	9	0.28925553
43	4	10	0.28842953
44	4	11	0.31165636
