Point	Row	Column	_s_MaxIntensity
1	1	1	0.076127492
2	1	2	0.078481004
3	1	3	0.075587399
4	1	4	0.069316797
5	1	5	0.066624999
6	1	6	0.062858403
7	1	7	0.056563199
8	1	8	0.053662706
9	1	9	0.052470304
10	1	10	0.048967
11	1	11	0.0553024
12	2	1	0.094354399
13	2	2	0.094387911
14	2	3	0.091727197
15	2	4	0.085284598
16	2	5	0.081392705
17	2	6	0.076742105
18	2	7	0.069616601
19	2	8	0.064097203
20	2	9	0.059804399
21	2	10	0.058939304
22	2	11	0.0565724
23	3	1	0.089267202
24	3	2	0.092186712
25	3	3	0.092514597
26	3	4	0.082600906
27	3	5	0.0813924
28	3	6	0.079305403
29	3	7	0.067913599
30	3	8	0.065481491
31	3	9	0.063817397
32	3	10	0.058897801
33	3	11	0.058953494
34	4	1	0.074577905
35	4	2	0.072582401
36	4	3	0.073258601
37	4	4	0.070898801
38	4	5	0.07033889
39	4	6	0.069108598
40	4	7	0.061712295
41	4	8	0.060709201
42	4	9	0.058120001
43	4	10	0.056274693
44	4	11	0.058418401
