Point	Row	Column	FWHM_111
1	1	1	0.42767176
2	1	2	0.43327165
3	1	3	0.42977032
4	1	4	0.41699046
5	1	5	0.39782879
6	1	6	0.40041685
7	1	7	0.38893881
8	1	8	0.40715492
9	1	9	0.37969106
10	1	10	0.38839498
11	1	11	0.37653983
12	2	1	0.39719236
13	2	2	0.38429862
14	2	3	0.38872343
15	2	4	0.38643417
16	2	5	0.3977268
17	2	6	0.38667464
18	2	7	0.38103497
19	2	8	0.36882904
20	2	9	0.38058713
21	2	10	0.38815913
22	2	11	0.37033647
23	3	1	0.41148892
24	3	2	0.41463208
25	3	3	0.42876309
26	3	4	0.4080984
27	3	5	0.40343991
28	3	6	0.40570515
29	3	7	0.40998536
30	3	8	0.38085508
31	3	9	0.37980232
32	3	10	0.39037019
33	3	11	0.3955338
34	4	1	0.46172011
35	4	2	0.44996935
36	4	3	0.46617195
37	4	4	0.46553868
38	4	5	0.41855538
39	4	6	0.44509
40	4	7	0.45274663
41	4	8	0.41245869
42	4	9	0.46386519
43	4	10	0.44453713
44	4	11	0.43123531
