Point	Row	Column	110_s_MaxIntensity
1	1	1	0.77329791
2	1	2	0.81730765
3	1	3	0.85067785
4	1	4	0.87164342
5	1	5	0.87915611
6	1	6	0.87299031
7	1	7	0.85374141
8	1	8	0.82272649
9	1	9	0.78180808
10	1	10	0.73318285
11	1	11	0.67916626
12	2	1	0.86522853
13	2	2	0.91836673
14	2	3	0.95987558
15	2	4	0.98756009
16	2	5	1
17	2	6	0.9966917
18	2	7	0.97807342
19	2	8	0.9454394
20	2	9	0.90076447
21	2	10	0.84647954
22	2	11	0.78523225
23	3	1	0.82886934
24	3	2	0.88205975
25	3	3	0.92502427
26	3	4	0.95559114
27	3	5	0.97220725
28	3	6	0.97408664
29	3	7	0.96127123
30	3	8	0.93460351
31	3	9	0.89561802
32	3	10	0.84637761
33	3	11	0.78927594
34	4	1	0.68787009
35	4	2	0.73241502
36	4	3	0.76952553
37	4	4	0.79740924
38	4	5	0.81475049
39	4	6	0.82066846
40	4	7	0.81487584
41	4	8	0.79768693
42	4	9	0.76998508
43	4	10	0.73314077
44	4	11	0.68888813
