Point	Row	Column	Fe_at
1	1	1	0.13327429
2	1	2	0.13469741
3	1	3	0.1461972
4	1	4	0.15055886
5	1	5	0.15463921
6	1	6	0.16062784
7	1	7	0.16951521
8	1	8	0.17215152
9	1	9	0.1790316
10	1	10	0.18741506
11	1	11	0.20510817
12	2	1	0.11753502
13	2	2	0.11983109
14	2	3	0.12618975
15	2	4	0.13016009
16	2	5	0.13668567
17	2	6	0.14122605
18	2	7	0.14677152
19	2	8	0.15120214
20	2	9	0.15642183
21	2	10	0.16558802
22	2	11	0.1786942
23	3	1	0.10611401
24	3	2	0.10758722
25	3	3	0.11138623
26	3	4	0.11567196
27	3	5	0.11692843
28	3	6	0.12045027
29	3	7	0.12418798
30	3	8	0.12762976
31	3	9	0.1307725
32	3	10	0.14227922
33	3	11	0.15351385
34	4	1	0.10249435
35	4	2	0.10374265
36	4	3	0.099825568
37	4	4	0.10326138
38	4	5	0.10642146
39	4	6	0.10953216
40	4	7	0.1099677
41	4	8	0.10914186
42	4	9	0.11420983
43	4	10	0.12155018
44	4	11	0.13723639
