Point	Row	Column	d_um
1	1	1	0.10339
2	1	2	0.10888
3	1	3	0.11482
4	1	4	0.11764
5	1	5	0.11948
6	1	6	0.12057
7	1	7	0.11844
8	1	8	0.11753
9	1	9	0.11184
10	1	10	0.10373
11	1	11	0.095689997
12	2	1	0.12463
13	2	2	0.13330001
14	2	3	0.14005999
15	2	4	0.14651
16	2	5	0.14721
17	2	6	0.14744
18	2	7	0.14557999
19	2	8	0.13909
20	2	9	0.13207
21	2	10	0.12196
22	2	11	0.11162
23	3	1	0.12346
24	3	2	0.13208
25	3	3	0.13976
26	3	4	0.14573
27	3	5	0.14865001
28	3	6	0.14772999
29	3	7	0.15091
30	3	8	0.13874
31	3	9	0.13101999
32	3	10	0.1214
33	3	11	0.11131
34	4	1	0.10145
35	4	2	0.10886
36	4	3	0.11684
37	4	4	0.11997
38	4	5	0.1229
39	4	6	0.1244
40	4	7	0.12125
41	4	8	0.11864
42	4	9	0.11307
43	4	10	0.10552
44	4	11	0.097139999
