Point	Row	Column	MaxInt_200
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	219.42557
9	1	9	217.85895
10	1	10	
11	1	11	
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	203.45425
19	2	8	261.95123
20	2	9	272.4086
21	2	10	211.5699
22	2	11	
23	3	1	242.25119
24	3	2	220.70522
25	3	3	306.18527
26	3	4	268.22784
27	3	5	319.08948
28	3	6	346.2662
29	3	7	370.98331
30	3	8	393.82501
31	3	9	320.8251
32	3	10	308.98566
33	3	11	408.47998
34	4	1	219.87193
35	4	2	
36	4	3	
37	4	4	236.22351
38	4	5	364.71542
39	4	6	515.16656
40	4	7	520.00562
41	4	8	423.07706
42	4	9	254.90672
43	4	10	
44	4	11	209.22426
