Point	Row	Column	_s_Area
1	1	1	0.28917891
2	1	2	0.28589499
3	1	3	0.2814416
4	1	4	0.27902749
5	1	5	0.27679861
6	1	6	0.27504626
7	1	7	0.27128458
8	1	8	0.26013851
9	1	9	0.25186908
10	1	10	0.2383794
11	1	11	0.22796451
12	2	1	0.2658827
13	2	2	0.25797909
14	2	3	0.25352129
15	2	4	0.25223929
16	2	5	0.2501885
17	2	6	0.24528749
18	2	7	0.2383669
19	2	8	0.2297141
20	2	9	0.21902411
21	2	10	0.2075076
22	2	11	0.1976244
23	3	1	0.23860967
24	3	2	0.2316318
25	3	3	0.22699188
26	3	4	0.22206099
27	3	5	0.21932501
28	3	6	0.21363071
29	3	7	0.20570448
30	3	8	0.1952685
31	3	9	0.18812938
32	3	10	0.1811108
33	3	11	0.17511459
34	4	1	0.21748848
35	4	2	0.21300641
36	4	3	0.20794038
37	4	4	0.2040699
38	4	5	0.20243859
39	4	6	0.19799019
40	4	7	0.19375411
41	4	8	0.18717942
42	4	9	0.18365991
43	4	10	0.18276241
44	4	11	0.18089648
