FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.75665Co0.89219Fe0.0Y0.0Zr0.10781O3,01200,1,1,1,0.16178,12.954547999999999,5.4000001,44.141998,0.8900026894018204,2.150006496869566,1.4900045024816992,137.32741497470087,1.8207045000000002,1.371562,0.7782159166666668,62.41446668705,0.7566477135620919,0.4888232491334098,1.56756056005457,1.9146415160253178,2.200249754007657,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.75345Co0.89269Fe0.0Y0.0Zr0.10731O3,01200,2,1,2,0.16463,8.249669099999998,9.397999800000001,44.141998,0.8899964433056555,2.1499914079855724,1.4899940455341874,137.32645120206266,1.8209794999999998,1.371462,0.7781700833333334,62.39832128454999,0.753453011013554,0.48874599813213476,1.5676638565163108,1.9147408483653314,2.2008036173893846,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.74955Co0.89276Fe0.0Y0.0Zr0.10724O3,01200,3,1,3,0.16357,2.5754435,13.395999999999999,44.141998,0.8900036999150638,2.150008937997064,1.4900061942398257,137.32757089689434,1.8210179999999998,1.3714480000000002,0.7781636666666668,62.3960609282,0.7495468839777449,0.4887396499732918,1.567692641643769,1.914772249162441,2.200901288543183,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.77049Co0.89238Fe0.0Y0.0Zr0.10762O3,01200,4,1,4,0.16215,,17.39398,44.141998,0.8900046416122337,2.1500112128834856,1.4900077707890205,137.32771620076767,1.820809,1.371524,0.7781985,62.40833143409999,0.770485981688586,0.48879626672112986,1.5676074300438678,1.914688566977475,2.2004708833752225,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.75934Co0.88925Fe0.0Y0.0Zr0.11075O3,01200,5,1,5,0.15605,,21.392,44.141998,0.8900003653490313,2.150000882584738,1.490000611651749,137.32705637335553,1.8190875,1.3721500000000002,0.7784854166666667,62.509401653750004,0.7593396882876186,0.48925649005285965,1.56688473022974,1.9139736978396606,2.1969024297182203,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.7663Co0.88514Fe0.0Y0.0Zr0.11486O3,01200,6,1,6,0.14692,,25.389999,44.141998,0.8900023125982239,2.150005586613687,1.4900038716532065,137.32735683390595,1.816827,1.3729720000000003,0.7788621666666667,62.6421168623,0.7662980088321188,0.48986629579933805,1.5659500606084367,1.913052059044088,2.1922528118865965,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.77374Co0.89067Fe0.0Y0.0Zr0.10933O3,01200,7,1,7,0.13553999,,29.388,44.141998,0.8899970671525469,2.1499929150314334,1.4899950899520167,137.326547461638,1.8198685,1.371866,0.77835525,62.463548710649995,0.7737425497402992,0.48904471238034336,1.567203294659561,1.9142866833004808,2.198506974007769,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.78595Co0.8886Fe0.0Y0.0Zr0.1114O3,01200,8,1,8,0.12355,,33.386002000000005,44.141998,0.8900001309085508,2.1500003162397574,1.4900002191615065,137.32702019918938,1.81873,1.37228,0.778545,62.530390677,0.7859498843959997,0.48935253221124125,1.566735882064708,1.9138267141417726,2.1961644364026203,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.78839Co0.89015Fe0.0Y0.0Zr0.10985O3,01200,9,1,9,0.11089,,37.383998999999996,44.141998,0.8900013235121371,2.150003197248421,1.4900022157675104,137.32720421792274,1.8195824999999999,1.3719700000000001,0.7784029166666667,62.48033992925,0.788388827593054,0.4891239190925046,1.567091989801833,1.9141786134976286,2.197926649781772,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.80767Co0.89759Fe0.0Y0.0Zr0.10241O3,01200,10,1,10,0.09849,,41.382011,44.141998,0.8900020774104437,2.1500050184634314,1.4900034779118663,137.32732054443144,1.8236745,1.370482,0.7777209166666668,62.24009634005,0.8076681147660937,0.4880268257358666,1.56879478786546,1.9158588202797247,2.2064124032543413,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
