Point	Row	Column	110_s_Area
1	1	1	0.41156161
2	1	2	0.41277301
3	1	3	0.41568276
4	1	4	0.41382739
5	1	5	0.4122836
6	1	6	0.42060259
7	1	7	0.41732001
8	1	8	0.41859105
9	1	9	0.42740744
10	1	10	0.43876281
11	1	11	0.46707481
12	2	1	0.40947437
13	2	2	0.4109908
14	2	3	0.41100001
15	2	4	0.40972799
16	2	5	0.40682295
17	2	6	0.40917441
18	2	7	0.41090861
19	2	8	0.41808355
20	2	9	0.42375121
21	2	10	0.43177581
22	2	11	0.45734414
23	3	1	0.41718364
24	3	2	0.42096019
25	3	3	0.41466081
26	3	4	0.42130056
27	3	5	0.41924337
28	3	6	0.4238658
29	3	7	0.42571574
30	3	8	0.42801985
31	3	9	0.441533
32	3	10	0.44041121
33	3	11	0.475297
34	4	1	0.084053203
35	4	2	0.084119998
36	4	3	0.084261
37	4	4	0.080294199
38	4	5	0.080332398
39	4	6	0.07944461
40	4	7	0.085314393
41	4	8	0.079117
42	4	9	0.085447803
43	4	10	0.088123001
44	4	11	0.091693603
