Point	Row	Column	Norm_d
1	1	1	0.95878994
2	1	2	1
3	1	3	0.98504567
4	1	4	0.95251143
5	1	5	0.86586756
6	1	6	0.75091326
7	1	7	0.61484021
8	1	8	0.47477168
9	1	9	0.33321917
10	1	10	0.19634703
11	1	11	0.095547944
12	2	1	0.78538811
13	2	2	0.8247717
14	2	3	0.82397258
15	2	4	0.80399543
16	2	5	0.74623287
17	2	6	0.66312784
18	2	7	0.54474884
19	2	8	0.42089042
20	2	9	0.29166666
21	2	10	0.17214611
22	2	11	0.057191782
23	3	1	0.32945207
24	3	2	0.35194063
25	3	3	0.36974886
26	3	4	0.35376713
27	3	5	0.33162099
28	3	6	0.28436074
29	3	7	0.21621005
30	3	8	0.15273973
31	3	9	0.074543379
32	3	10	0
33	3	11	-0.074543379
34	4	1	0.71347034
35	4	2	0.72465754
36	4	3	0.70068491
37	4	4	0.65936071
38	4	5	0.58047944
39	4	6	0.48515981
40	4	7	0.36723745
41	4	8	0.25285387
42	4	9	0.15388128
43	4	10	0.045890409
44	4	11	-0.042465754
