FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: FWHM of 200 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),PROPERTY: Position of 200 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.9443Co0.25803Fe0.3962Y0.14231Zr0.20345O3,01229,1,1,1,4.0915589,0.14707001,0.54685301,0.43459547,,1690.8557,762.6755400000001,,8.5489273,30.869898,38.035294,,5.4000001,44.14201,0.8900041892764201,2.1500101201621384,1.4900070135077146,137.3276464053516,1.6543490999999997,1.474526,0.85898295,68.54403561935,0.94429555515157,0.5379784649300563,1.4581025496750404,1.7346176818849717,2.0034952007784024,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93711Co0.25474Fe0.39744Y0.14253Zr0.2053O3,01229,2,1,2,,0.15119000000000002,,,,,,,,,,,9.3999796,44.14201,0.8900014470499246,2.1500034956824017,1.4900024225891995,137.32722327980335,1.653162,1.4750840000000003,0.8593320333333334,68.6077168948,0.9371084763564607,0.5383631168935196,1.4575464825612652,1.7339076920122563,2.001629401112046,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.9427Co0.25976Fe0.39971Y0.14133Zr0.1992O3,01229,3,1,3,,0.15024,,,,,,,,,,,13.39599,44.14201,0.8899967242945662,2.149992086779008,1.4899945159538244,137.32649455865158,1.6571767000000002,1.4734239999999998,0.8586302416666667,68.3671762637,0.9427034696841327,0.5370560208181578,1.4591808513903726,1.7353156733236317,2.008661203571837,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93135Co0.25577Fe0.39993Y0.13887Zr0.20542O3,01229,4,1,4,,0.1472,,,,,,,,,,,17.393998999999997,44.14201,0.8900005542018169,2.150001338802142,1.4900009278210191,137.32708551334034,1.6553495,1.4735585,0.8585429416666668,68.49302360464999,0.9313494200499544,0.5376511450916056,1.4590539424136484,1.7354995953126346,2.0049791684771994,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93418Co0.25771Fe0.39579Y0.14294Zr0.20355O3,01229,5,1,5,,0.14163999,,,,,,,,,,,21.391991,44.14201,0.8899976640277031,2.1499943569208555,1.4899960892149187,137.3266395594746,1.6538988,1.474809,0.8591287583333335,68.56741363245,0.9341824519374472,0.5381209926675702,1.4578120671360533,1.7343105730803798,2.002797426421868,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.95245Co0.26395Fe0.41013Y0.13941Zr0.18651O3,01229,6,1,6,,0.12982,,,,,,,,,,,25.391991,44.14201,0.8899974766952694,2.1499939043762124,1.4899957755909568,137.32661065408007,1.6649024000000001,1.4705430000000002,0.8578224083333335,67.86767945875,0.9524527003689939,0.534564354460219,1.4620408273516736,1.7369513329523245,2.0234463849253492,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.95Co0.26719Fe0.41362Y0.13669Zr0.18251O3,01229,7,1,7,,0.11890999999999999,,,,,,,,,,,29.38802,44.14201,0.8900006881716941,2.1500016624372384,1.4900011521076675,137.3271061848924,1.6687419,1.468707,0.8570182333333334,67.64680214855,0.9499992654352765,0.5333363344994778,1.4638737763469762,1.73858745841658,2.0300605767487263,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.97544Co0.26983Fe0.4297Y0.13009Zr0.17037O3,01229,8,1,8,4.08672,0.10597000000000001,0.51492327,0.42061481,,675.26849,397.84656,,4.6909528,30.907362,38.117897,,33.388008,44.14201,0.8899966544647709,2.149991918089053,1.4899943990477627,137.32648378391414,1.6789333000000002,1.4640860000000002,0.8554504333333335,67.00613541335001,0.9754436667203943,0.5300964930916379,1.4684874509346124,1.7417659059939639,2.0494613356936537,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.96106Co0.2766Fe0.42652Y0.12727Zr0.16961O3,01229,9,1,9,4.084081200000001,0.09333000300000001,0.56585008,0.49565765,,957.7616,416.40106000000003,,7.3223351999999995,30.927834000000004,38.138794,,37.384009999999996,44.14201,0.890002674332156,2.1500064604653204,1.4900044772527106,137.32741264945167,1.6813903,1.4625195,0.8543547000000001,66.90748130649999,0.9610571121506306,0.5293254483103393,1.4700702865605009,1.744011564813432,2.0524971194231827,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.95754Co0.27668Fe0.44135Y0.11458Zr0.16739O3,01229,10,1,10,4.0878239,0.081929997,0.57023376,,,926.328,,,8.627616900000001,30.898806,,,41.381989000000004,44.14201,0.8899964755808054,2.1499914859536307,1.489994099567865,137.32645618211828,1.6902452000000001,1.4571065,0.8519519416666668,66.4096447956,0.9575437918940672,0.5265487371777807,1.4755211688051837,1.7489180160244737,2.0678691567285252,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
