Point	Row	Column	Co_at
1	1	1	0.13271379
2	1	2	0.13150328
3	1	3	0.1337129
4	1	4	0.1324324
5	1	5	0.133242
6	1	6	0.1351884
7	1	7	0.13701969
8	1	8	0.136594
9	1	9	0.14104609
10	1	10	0.14134239
11	1	11	0.13984339
12	2	1	0.13197741
13	2	2	0.13159449
14	2	3	0.131193
15	2	4	0.1322414
16	2	5	0.13379671
17	2	6	0.1356647
18	2	7	0.13412319
19	2	8	0.13711099
20	2	9	0.13801581
21	2	10	0.14173022
22	2	11	0.1377164
23	3	1	0.1395717
24	3	2	0.13724829
25	3	3	0.1397289
26	3	4	0.13740382
27	3	5	0.13818909
28	3	6	0.13955639
29	3	7	0.1387275
30	3	8	0.13972539
31	3	9	0.14325021
32	3	10	0.1436962
33	3	11	0.1417198
34	4	1	0.13569409
35	4	2	0.1358351
36	4	3	0.13865089
37	4	4	0.13739771
38	4	5	0.1393729
39	4	6	0.13939169
40	4	7	0.14132839
41	4	8	0.1422908
42	4	9	0.14254899
43	4	10	0.1457618
44	4	11	0.1502894
