Point	Row	Column	Frac_110
1	1	1	0.87570375
2	1	2	0.76522219
3	1	3	0.65872979
4	1	4	0.66768742
5	1	5	1
6	1	6	
7	1	7	
8	1	8	
9	1	9	0.7117576
10	1	10	0.67218488
11	1	11	0.80684149
12	2	1	0.84936488
13	2	2	0.7490198
14	2	3	0.65737349
15	2	4	0.69067961
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	1
22	2	11	0.72279066
23	3	1	0.81320864
24	3	2	0.68494624
25	3	3	0.65711701
26	3	4	0.69258064
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	0.74136811
34	4	1	0.86346626
35	4	2	0.82890397
36	4	3	0.70302153
37	4	4	0.67317879
38	4	5	0.6813314
39	4	6	0.69819355
40	4	7	1
41	4	8	1
42	4	9	0.71329516
43	4	10	0.68688792
44	4	11	0.7120564
