FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.86246Co0.32035Fe0.54434Y0.0Zr0.13531O3,01252,1,1,1,4.0807376,0.16425,0.55480748,0.50531644,2609.2874,1008.7735,10.066792,30.953808000000002,38.138149,5.4000001,44.141998,0.8900016647023736,2.150004021472026,1.4900027869736368,137.32725686357625,1.7783625,1.404279,0.8265520333333334,61.62143575825001,0.8624583868128947,0.5004613315352598,1.5310376509739345,1.8026727016383077,2.2285630831831207,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86569Co0.34269Fe0.53201Y0.0Zr0.1253O3,01252,2,1,2,4.0805435,0.17,0.55639207,0.44996572,2617.1543,1100.2418,9.473218,30.955315000000002,38.155769,9.397999800000001,44.141998,0.8900031676921594,2.1500076522900478,1.4900053032149634,137.3274887749002,1.7844845,1.4016605,0.824596675,61.33628224455,0.8656869188430727,0.498745249786232,1.5339004361541528,1.8069504139280739,2.238927495268958,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86349Co0.36342Fe0.51136Y0.0Zr0.12523O3,01252,3,1,3,4.0797319,0.17406,0.53710264,0.43185464,2574.1821,1207.6298,9.1282873,30.96163,38.152012,13.39599,44.141998,0.8899998827954148,2.1499997168653278,1.4899998037810875,137.32698191533248,1.7855743000000002,1.4006275,0.8228599000000001,61.3983824469,0.8634901137134838,0.49843900799614704,1.5350260628649144,1.8107575831330307,2.2366547202460723,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86562Co0.38866Fe0.49437Y0.0Zr0.11697O3,01252,4,1,4,4.0787263,0.17349,0.53167808,0.39329746,2503.2292,1271.6179,8.9735174,30.969456,38.161590999999994,17.39397,44.141998,0.890000179319539,2.1500004331876506,1.490000300209116,137.32702766900488,1.790948,1.3981125,0.8206650583333334,61.1835394987,0.8656198255926426,0.49694361830691847,1.5377878626989248,1.8156009995540905,2.2445093695817113,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86575Co0.41424Fe0.47143Y0.0Zr0.11434O3,01252,5,1,5,4.0810204,0.17103,0.55207241,0.43637326,2427.4568,1075.184,9.087771400000001,30.951609,38.15358,21.391991,44.141998,0.8899964860882004,2.1499915113366637,1.4899941171588973,137.3264578034093,1.7935603000000002,1.396453,0.818500875,61.1700472068,0.8657534181810693,0.4962177664660621,1.5396089315835648,1.8203940431449108,2.2449951254597584,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86915Co0.43614Fe0.45293Y0.0Zr0.11094O3,01252,6,1,6,4.0823984,0.16523001,0.53531528,0.45635167,2468.6472,939.3100599999999,9.038132699999998,30.940901,38.137287,25.389971,44.141998,0.8900033082865324,2.15000799192814,1.4900055385920599,137.32751046861196,1.7963553,1.394848,0.8166321249999999,61.1173900773,0.869146769228594,0.49544948501364533,1.541392317964495,1.824573749890209,2.2469465776421895,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.8604Co0.45811Fe0.43335Y0.0Zr0.10854O3,01252,7,1,7,4.0823855,0.15614,0.50655824,0.47204146,2530.3059,763.89459,9.582046499999999,30.940997999999997,38.152846999999994,29.387990999999996,44.141998,0.8900021833323132,2.1500052743421048,1.4900036552417377,137.32733688817592,1.7986355,1.3933754999999999,0.8147564583333334,61.09976967145,0.8603978892870631,0.4948207590322292,1.543019289733532,1.8287718250060767,2.2475917278677513,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86272Co0.48201Fe0.41721Y0.0Zr0.10077O3,01252,8,1,8,4.0803785,0.14595,0.52191073,0.50228095,2415.01,614.80438,9.897172900000001,30.9566,38.181553,33.385979,44.141998,0.8900030081624996,2.150007266909409,1.4900050361372184,137.3274641594737,1.8036972,1.3910010000000002,0.8126780750000001,60.898124251949994,0.8627170840526068,0.493432605075009,1.5456547241227063,1.8334505162295884,2.2550360269113936,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86746Co0.50272Fe0.39888Y0.0Zr0.09841O3,01252,9,1,9,4.0773196,0.13535999999999998,0.51679057,0.54629242,2271.2356,547.39709,10.133548,30.980403999999997,38.179768,37.383990999999995,44.141998,0.8900045410065052,2.1500109698471754,1.4900076023592053,137.32770067730374,1.8059493,1.3896395,0.8109343333333334,60.87970323039999,0.8674555740208938,0.49281812119892027,1.5471717447922109,1.8373961258176743,2.2557222422321175,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.85654Co0.51982Fe0.38343Y0.0Zr0.09675O3,01252,10,1,10,4.074116200000001,0.12345999999999999,0.54890823,0.51730126,1994.2551,506.94907,10.403974,31.005377000000003,38.178996999999995,41.381989000000004,44.141998,0.8900034556143248,2.1500083478323573,1.4900057852419595,137.32753320129032,1.807616,1.3885215,0.8094741083333332,60.87322377489999,0.8565366743141557,0.49236312115754943,1.5484155973331037,1.8407083931440464,2.255959594141208,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.84261Co0.5293Fe0.37907Y0.0Zr0.09163O3,01252,11,1,11,4.0728989,0.1119,0.54451549,0.51317877,1934.0618,495.86295,10.717941999999999,31.014877000000002,38.181847,45.37999,44.141998,0.8900051291484271,2.1500123906394584,1.4900085870012991,137.32779142760228,1.81065,1.3872795,0.8086378083333334,60.7213593835,0.8426051439923045,0.49153902142789996,1.549804773039217,1.8426155339834096,2.2616060118199326,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.87029Co0.2922Fe0.54572Y0.0Zr0.16208O3,01252,12,2,1,4.0866885,0.21950999999999998,0.59227407,0.43658388,2715.1062,1421.3365,8.3762035,30.907606,38.094372,5.4000001,31.643998999999997,0.889995923598047,2.1499901525121357,1.489993175461899,137.32637101117865,1.7635699999999999,1.4097019999999998,0.8291221,62.481598899000005,0.870293986143938,0.5046558535232778,1.525138045141552,1.7970732844558106,2.197869027538226,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.86756Co0.30224Fe0.53396Y0.0Zr0.16379O3,01252,13,2,2,4.0879855,0.23583999,0.59253836,0.41085455,2835.4758,1702.2399,8.292409900000001,30.897555999999998,38.085369,9.397999800000001,31.643998999999997,0.8899953028243153,2.1499886528901997,1.4899921361890223,137.32627522579185,1.7631987,1.4094425000000002,0.8282813666666667,62.572544016799995,0.8675645787676902,0.5047617734883285,1.52541778248506,1.7988961193046544,2.194673037249714,23_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,SiO2,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
