Point	Row	Column	PeakArea_110
1	1	1	10.066792
2	1	2	9.473218
3	1	3	9.1282873
4	1	4	8.9735174
5	1	5	9.0877714
6	1	6	9.0381327
7	1	7	9.5820465
8	1	8	9.8971729
9	1	9	10.133548
10	1	10	10.403974
11	1	11	10.717942
12	2	1	8.3762035
13	2	2	8.2924099
14	2	3	7.8863683
15	2	4	7.7417927
16	2	5	7.6305623
17	2	6	7.6304307
18	2	7	7.5204272
19	2	8	7.6312447
20	2	9	8.0860157
21	2	10	8.9819784
22	2	11	10.553659
23	3	1	8.6254406
24	3	2	8.221426
25	3	3	7.6790447
26	3	4	7.4136839
27	3	5	7.3833003
28	3	6	7.4578071
29	3	7	7.3012671
30	3	8	7.5784097
31	3	9	7.623281
32	3	10	8.3263378
33	3	11	9.4761257
34	4	1	6.5653973
35	4	2	6.6146593
36	4	3	6.6053348
37	4	4	6.7038641
38	4	5	7.2124624
39	4	6	7.318975
40	4	7	7.7763338
41	4	8	8.7740068
42	4	9	8.9338636
43	4	10	9.1573296
44	4	11	9.3552637
