FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.50398Co0.19605Fe0.24155Y0.0Zr0.5624O3,01257,1,1,1,0.31867999,5.4000001,44.141998,0.8899935337213262,2.1499843792144397,1.4899891744323326,137.32600225320064,1.5586025000000001,1.4745575,0.840217125,76.34759022975,0.5039836616840488,0.5710202144044592,1.4580539444643155,1.7733382599555234,1.7986946521815625,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.51462Co0.21069Fe0.24458Y0.0Zr0.54473O3,01257,2,1,2,0.32528999,9.397999800000001,44.141998,0.8900017883332607,2.1500043201309107,1.4900029939511892,137.32727593982213,1.5681695000000002,1.4711750000000001,0.8388524,75.76765447455,0.5146189659435805,0.5675418303526887,1.4614198311763797,1.77623976989419,1.8124789119075835,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.52183Co0.22478Fe0.234Y0.0Zr0.54122O3,01257,3,1,3,0.33252999,13.39599,44.141998,0.8900067202287423,2.1500162342604447,1.4900112507200292,137.32803693129492,1.570629,1.4699440000000001,0.8376401666666667,75.6869868521,0.5218260597859714,0.5666562378695047,1.462651797796681,1.7788202022945363,1.8144207167296504,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.52315Co0.24046Fe0.22579Y0.0Zr0.53375O3,01257,4,1,4,0.33208001,17.393998999999997,44.141998,0.8900073167263761,2.150017675237875,1.4900122493508994,137.32812897087985,1.575148,1.4680395,0.8362644083333333,75.4711286197,0.5231456991978248,0.5650309156513396,1.4645502898511076,1.7817477755874833,1.8196114392680953,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.52967Co0.24932Fe0.21574Y0.0Zr0.53494O3,01257,5,1,5,0.33140999,21.391991,44.141998,0.8900011674194335,2.1500028201705415,1.4900019544437706,137.32718013281857,1.574996,1.467775,0.8355276166666668,75.54059103739999,0.5296693052289435,0.5650815414257773,1.46480408793619,1.7833066492620866,1.8179256773994283,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.52411Co0.26349Fe0.20144Y0.0Zr0.53507O3,01257,6,1,6,0.32363001,25.389999,44.141998,0.8899970762283437,2.149992936956111,1.489995105146328,137.3265488620334,1.5756395,1.4670860000000001,0.83433595,75.58895003055001,0.5241117217786482,0.5648481624307741,1.4654852796333078,1.7858455040158918,1.8167542849388905,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.51384Co0.27189Fe0.18514Y0.0Zr0.54297O3,01257,7,1,7,0.31415999,29.38802,44.141998,0.8900004328912072,2.1500010457484215,1.490000724727976,137.32706679511327,1.5721094999999998,1.467851,0.8336881999999999,75.89438496855,0.5138397500711126,0.5661186023563927,1.4647270368371323,1.7872397914807674,1.8094496299300726,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.50144Co0.28192Fe0.16364Y0.0Zr0.55444O3,01257,8,1,8,0.30241999,33.386009,44.141998,0.889994876611952,2.1499876232760635,1.4899914226424815,137.32620946122418,1.5668760000000002,1.46907,0.8329300333333334,76.33115669440001,0.501442886614036,0.5680059408734015,1.4635025038126592,1.788855441650519,1.7990846124738347,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.48724Co0.28289Fe0.15231Y0.0Zr0.5648O3,01257,9,1,9,0.28951001,37.384009999999996,44.141998,0.8900061657412104,2.1500148947680926,1.490010322420678,137.32795137386876,1.5617444999999999,1.4705755,0.8329260916666668,76.70067868355,0.48723662452254496,0.5698794942074139,1.4620227895596605,1.7888865978963393,1.7904398465684177,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.47688Co0.2843Fe0.13303Y0.0Zr0.58267O3,01257,10,1,10,0.27313000000000004,41.381989000000004,44.141998,0.8900053319607071,2.150012880579236,1.490008926540959,137.3278227215371,1.55288,1.4731855,0.8329414416666667,77.3372557685,0.4768771430447317,0.5731320719957157,1.4594311989761208,1.78885195525815,1.7757007454804425,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
