FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.88582Co0.63848Fe0.02805Y0.06191Zr0.27157O3,01503,1,1,1,,0.082149997,,,,,203.53,94.945999,0.8900000290839718,2.150000070259033,1.4900000486911438,137.32700448765686,1.6883922,1.4335895,0.8124146916666668,69.47198144709999,0.8858199710526258,0.5271287258280225,1.4997320155170173,1.8340387784401242,1.9767250282363924,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.89125Co0.65911Fe-0.00042Y0.07178Zr0.26953O3,01503,2,1,2,,0.088550001,,,,,207.528,94.945999,0.8899983812459681,2.149996089526777,1.4899972899511151,137.32675022625287,1.6844047,1.436186,0.8125051333333334,69.78926988945,0.8912516210305111,0.5283756221090858,1.4970178580815974,1.833831232349689,1.967734444618577,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.89581Co0.66682Fe0.02283Y0.0413Zr0.26905O3,01503,3,1,3,,0.096479997,,,,,211.52598999999998,94.945999,0.8899953811235007,2.1499888420399174,1.4899922672741754,137.32628730735615,1.7036229999999999,1.4235365000000002,0.8061376083333334,68.7884032449,0.8958146490530676,0.52241333976091,1.5103152199047352,1.848310079906447,1.9963581189469983,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.90444Co0.68729Fe0.02106Y0.04731Zr0.24434O3,01503,4,1,4,,0.10259000000000001,,,,,215.524,94.945999,0.8899965131184242,2.1499915766343953,1.4899941624117439,137.32646197417284,1.7133354,1.4212105,0.8053562666666667,68.17609921504999,0.9044435434691327,0.5194525911963438,1.5127889757600268,1.850105629125806,2.0142903972989084,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.87811Co0.67668Fe0.0273Y0.05356Zr0.24246O3,01503,5,1,5,,0.10857,,,,,219.52199,94.945999,0.8900028208159458,2.1500068143306557,1.4900047224896171,137.32743525190043,1.7099324,1.423959,0.8074070500000001,68.2834512586,0.8781072168777083,0.520490061955634,1.5098797186791584,1.8454195098861434,2.0111378777827174,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.89324Co0.7071Fe0.0219Y0.04269Zr0.22832O3,01503,6,1,6,,0.11154000000000001,,,,,223.51997000000003,94.945999,0.8900033896927264,2.1500081885835525,1.490005674878834,137.32752302958767,1.7251723999999997,1.415983,0.8027110500000001,67.518322101,0.8932365979802258,0.515892434688108,1.518385594024471,1.8562167231643738,2.0339297357561814,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.91277Co0.71592Fe0.022Y0.04059Zr0.22149O3,01503,7,1,7,,0.11427999999999999,,,,,227.51799,94.945999,0.8900027874043,2.150006733617129,1.4900046665532662,137.32743009648348,1.7302910999999999,1.4136635,0.8015152,67.2339351759,0.9127671412909499,0.5143659280246544,1.5208758899250983,1.8589849157611313,2.042531494507977,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.89957Co0.72604Fe0.02518Y0.03385Zr0.21492O3,01503,8,1,8,,0.11415,,,,,231.51597999999998,94.945999,0.8899988932698712,2.149997326438453,1.4899981471596722,137.32682923154113,1.7381752,1.409462,0.7993418833333333,66.8093591003,0.8995711186319775,0.512030601558388,1.5254028320298476,1.864031121384801,2.0555028678747567,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.91002Co0.74672Fe0.02178Y0.02188Zr0.20962O3,01503,9,1,9,,0.11238,,,,,235.51398999999998,94.945999,0.8900040346985155,2.1500097467436046,1.4900067547199867,137.32762255398094,1.7491792,1.402859,0.7953257166666668,66.2905343484,0.910015874562137,0.5088123816579316,1.5325914769364595,1.8734547663878336,2.0716022868700184,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.92226Co0.74576Fe0.01936Y0.01873Zr0.21615O3,01503,10,1,10,4.0794096,0.10887000000000001,0.58947784,695.05438,4.0141006,30.964136,239.51398999999998,94.945999,0.890003716402097,2.15000897782529,1.4900062218417127,137.32757344084357,1.7477877,1.4026265000000002,0.7948648666666667,66.4144528737,0.9222561489048475,0.5092172901789485,1.5328449717906298,1.8745402952456314,2.0677362757470674,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.933Co0.76267Fe0.03465Y0.01327Zr0.18941O3,01503,11,1,11,4.0866137,0.10240999999999999,0.54934156,874.6022300000001,5.295581299999999,30.908188,243.50999,94.945999,0.889997762214946,2.149994594114757,1.4899962535958085,137.32665470976616,1.7653337999999998,1.3955860000000002,0.7922173083333333,65.34012755015,0.9330023459086574,0.5041526776493749,1.5405676139734539,1.8807923506877962,2.1017200280848076,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.89081Co0.63785Fe0.03299Y0.05113Zr0.27803O3,01503,12,2,1,,0.09229999800000001,,,,,203.53,82.447998,0.8899977715908334,2.1499946167643724,1.4899962692925186,137.3266561564656,1.6916881999999998,1.4302640000000002,0.8104863916666668,69.34162981125,0.8908122304428541,0.5261003603328518,1.5032152223396325,1.838397639506966,1.980435944904567,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.87946Co0.65009Fe0.02468Y0.06069Zr0.26454O3,01503,13,2,2,,0.099969998,,,,,207.528,82.447998,0.889995436618203,2.149988976100153,1.4899923601810365,137.32629587018872,1.6932135999999998,1.4314525,0.8111475166666666,69.21822833405,0.879464509362172,0.5256250225123417,1.5019631989885471,1.836894436050323,1.9839614387043598,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
Ba0.88803Co0.67274Fe0.02317Y0.05625Zr0.24785O3,01503,14,2,3,,0.109,,,,,211.52598999999998,82.447998,0.8899968137813652,2.149992302954983,1.4899946657688024,137.32650836646465,1.7054177999999998,1.4260545,0.8082919916666667,68.5514687168,0.8880331791773751,0.5218643864168447,1.5076508667480681,1.8433866487981543,2.003261358757874,5_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,19.5,850,N,250.0,20,50.0,SiO2,0,0,40,0,5,13,0,19.333333333333332,0,0,240,0,120,0,0
