Point	Row	Column	Ba_at
1	1	1	46.972672
2	1	2	47.124966
3	1	3	47.252224
4	1	4	47.491226
5	1	5	46.754906
6	1	6	47.180401
7	1	7	47.719719
8	1	8	47.356541
9	1	9	47.644417
10	1	10	47.977795
11	1	11	48.267006
12	2	1	47.112675
13	2	2	46.793354
14	2	3	47.034828
15	2	4	47.056141
16	2	5	47.499603
17	2	6	47.095436
18	2	7	47.343483
19	2	8	47.617371
20	2	9	47.631874
21	2	10	47.770359
22	2	11	46.552608
23	3	1	47.042213
24	3	2	46.77021
25	3	3	46.449665
26	3	4	47.070129
27	3	5	47.28812
28	3	6	46.947975
29	3	7	47.037109
30	3	8	46.837196
31	3	9	47.795921
32	3	10	47.45388
33	3	11	47.140739
34	4	1	47.89283
35	4	2	46.582584
36	4	3	46.998466
37	4	4	47.041641
38	4	5	46.917679
39	4	6	47.795952
40	4	7	48.015251
41	4	8	47.777111
42	4	9	47.65081
43	4	10	48.052231
44	4	11	46.850094
