Point	Row	Column	Y_at
1	1	1	3.2828
2	1	2	3.7955303
3	1	3	2.1785898
4	1	4	2.4840002
5	1	5	2.8520203
6	1	6	2.2547901
7	1	7	2.1220601
8	1	8	1.78221
9	1	9	1.1455399
10	1	10	0.97449011
11	1	11	0.68674994
12	2	1	2.7040803
13	2	2	3.2292304
14	2	3	2.9792399
15	2	4	2.69753
16	2	5	2.6087801
17	2	6	2.5324202
18	2	7	1.8778002
19	2	8	1.83226
20	2	9	1.4387501
21	2	10	1.08526
22	2	11	1.79065
23	3	1	2.6304297
24	3	2	2.7456501
25	3	3	3.4722104
26	3	4	2.41396
27	3	5	2.2637999
28	3	6	2.4288201
29	3	7	2.6214299
30	3	8	2.8157303
31	3	9	1.53915
32	3	10	3.1675
33	3	11	1.8626699
34	4	1	2.79018
35	4	2	2.6887603
36	4	3	2.4950902
37	4	4	3.1398301
38	4	5	2.70521
39	4	6	2.0235901
40	4	7	2.40605
41	4	8	2.12536
42	4	9	2.1500599
43	4	10	1.74219
44	4	11	1.8904502
