Point	Row	Column	a_Ang
1	1	1	4.1109538
2	1	2	4.1076832
3	1	3	4.1092725
4	1	4	4.1091638
5	1	5	4.1046052
6	1	6	4.1069698
7	1	7	4.1057167
8	1	8	4.1037021
9	1	9	4.0992818
10	1	10	4.1014237
11	1	11	4.1004858
12	2	1	4.1098351
13	2	2	4.1099753
14	2	3	4.1083884
15	2	4	4.1069698
16	2	5	4.1070495
17	2	6	4.1058879
18	2	7	4.1026325
19	2	8	4.0995097
20	2	9	4.1002359
21	2	10	4.1028204
22	2	11	4.1013579
23	3	1	4.1091666
24	3	2	4.1076598
25	3	3	4.1059008
26	3	4	4.105443
27	3	5	4.1042318
28	3	6	4.1030951
29	3	7	4.1026216
30	3	8	4.101408
31	3	9	4.1010528
32	3	10	4.1005549
33	3	11	4.0996361
34	4	1	4.1096549
35	4	2	4.1073761
36	4	3	4.1057844
37	4	4	4.1034226
38	4	5	4.1016846
39	4	6	4.1028466
40	4	7	4.1012926
41	4	8	4.0997758
42	4	9	4.0990295
43	4	10	4.0995493
44	4	11	4.098289
