Point	Row	Column	_s_MaxIntensity
1	1	1	0.092538416
2	1	2	0.11972225
3	1	3	0.12159609
4	1	4	0.11888849
5	1	5	0.12357572
6	1	6	0.12855332
7	1	7	0.11350751
8	1	8	0.091819711
9	1	9	0.092247248
10	1	10	0.071978167
11	1	11	0.10997059
12	2	1	0.11220893
13	2	2	0.12266198
14	2	3	0.12687528
15	2	4	0.13234842
16	2	5	0.12352102
17	2	6	0.12069534
18	2	7	0.11215062
19	2	8	0.10328931
20	2	9	0.10560743
21	2	10	0.095130794
22	2	11	0.10234097
23	3	1	0.092677951
24	3	2	0.11827213
25	3	3	0.1114907
26	3	4	0.12594669
27	3	5	0.11968956
28	3	6	0.12540451
29	3	7	0.11965086
30	3	8	0.11029602
31	3	9	0.080973327
32	3	10	0.10108513
33	3	11	0.10077789
34	4	1	0.068700843
35	4	2	0.089104392
36	4	3	0.078107007
37	4	4	0.087995909
38	4	5	0.10479119
39	4	6	0.095976897
40	4	7	0.083438911
41	4	8	0.094806708
42	4	9	0.041090604
43	4	10	0.056054153
44	4	11	0.10048426
