Point	Row	Column	a_Ang
1	1	1	4.1104021
2	1	2	4.1055641
3	1	3	4.1028104
4	1	4	4.101779
5	1	5	4.1024489
6	1	6	4.1001949
7	1	7	4.0983639
8	1	8	4.1011353
9	1	9	4.1019163
10	1	10	4.100945
11	1	11	4.1026068
12	2	1	4.1156311
13	2	2	4.1167598
14	2	3	4.1134305
15	2	4	4.1131287
16	2	5	4.11412
17	2	6	4.1106968
18	2	7	4.1142015
19	2	8	4.1141272
20	2	9	4.1145773
21	2	10	4.1135497
22	2	11	4.1103568
23	3	1	4.1093559
24	3	2	4.1110363
25	3	3	4.1098375
26	3	4	4.1101537
27	3	5	4.1076231
28	3	6	4.1031585
29	3	7	4.0993576
30	3	8	4.0987992
31	3	9	4.100853
32	3	10	4.0979576
33	3	11	4.0967755
34	4	1	4.1069489
35	4	2	4.1082072
36	4	3	4.107038
37	4	4	4.1045651
38	4	5	4.1008034
39	4	6	4.0988054
40	4	7	4.097362
41	4	8	4.0997548
42	4	9	4.1011291
43	4	10	4.0993128
44	4	11	4.0969758
