Point	Row	Column	Ratio_111_110
1	1	1	0.22713998
2	1	2	0.22068611
3	1	3	0.23341963
4	1	4	0.25928324
5	1	5	0.27315578
6	1	6	0.29254952
7	1	7	0.31187466
8	1	8	0.31091362
9	1	9	0.30699834
10	1	10	0.32194078
11	1	11	0.3196294
12	2	1	0.25467083
13	2	2	0.28687975
14	2	3	0.25165939
15	2	4	0.25370675
16	2	5	0.25654721
17	2	6	0.2641446
18	2	7	0.27272087
19	2	8	0.3174378
20	2	9	0.34561867
21	2	10	0.3141292
22	2	11	0.32999361
23	3	1	0.24764411
24	3	2	0.26448658
25	3	3	0.23241785
26	3	4	0.23703678
27	3	5	0.24526715
28	3	6	0.26048568
29	3	7	0.23787953
30	3	8	0.21008968
31	3	9	0.31936991
32	3	10	0.30868587
33	3	11	0.32176763
34	4	1	0.24710824
35	4	2	0.2412193
36	4	3	0.26932326
37	4	4	0.31159434
38	4	5	0.23439865
39	4	6	0.26919153
40	4	7	0.27171695
41	4	8	0.24064232
42	4	9	0.26312268
43	4	10	0.27818027
44	4	11	0.26706788
