Point	Row	Column	Norm_Int110
1	1	1	21.506866
2	1	2	22.89402
3	1	3	21.329365
4	1	4	21.075567
5	1	5	21.213482
6	1	6	24.063023
7	1	7	22.589926
8	1	8	21.675016
9	1	9	23.025244
10	1	10	25.568253
11	1	11	25.383738
12	2	1	20.993797
13	2	2	20.311161
14	2	3	20.528984
15	2	4	20.349262
16	2	5	20.712448
17	2	6	20.992838
18	2	7	20.539846
19	2	8	21.050266
20	2	9	21.377663
21	2	10	24.465137
22	2	11	24.162281
23	3	1	20.925106
24	3	2	20.672777
25	3	3	20.608015
26	3	4	21.069883
27	3	5	20.632784
28	3	6	19.678823
29	3	7	19.501135
30	3	8	21.463669
31	3	9	22.140581
32	3	10	23.571703
33	3	11	25.426731
34	4	1	18.697708
35	4	2	16.69009
36	4	3	13.420001
37	4	4	13.585001
38	4	5	15.122933
39	4	6	18.103716
40	4	7	18.064817
41	4	8	21.815926
42	4	9	22.730597
43	4	10	25.755589
44	4	11	26.103312
