Point	Row	Column	PeakArea_110
1	1	1	12.665634
2	1	2	13.412062
3	1	3	13.989497
4	1	4	13.984709
5	1	5	14.195884
6	1	6	13.97162
7	1	7	14.142139
8	1	8	14.174998
9	1	9	13.314402
10	1	10	13.275084
11	1	11	13.191924
12	2	1	14.665491
13	2	2	14.449302
14	2	3	13.843995
15	2	4	13.927196
16	2	5	13.659577
17	2	6	13.315308
18	2	7	13.520521
19	2	8	13.296478
20	2	9	13.753253
21	2	10	13.702375
22	2	11	13.289287
23	3	1	15.066009
24	3	2	14.675107
25	3	3	14.580328
26	3	4	14.23278
27	3	5	13.43937
28	3	6	13.060028
29	3	7	13.952393
30	3	8	14.316515
31	3	9	14.144488
32	3	10	14.305185
33	3	11	14.319849
34	4	1	14.099413
35	4	2	14.847257
36	4	3	13.38932
37	4	4	12.785318
38	4	5	12.718239
39	4	6	12.809067
40	4	7	13.343725
41	4	8	13.443616
42	4	9	14.145926
43	4	10	14.32053
44	4	11	14.460505
