Point	Row	Column	110_s_MaxIntensity
1	1	1	0.76463556
2	1	2	0.80567652
3	1	3	0.83756816
4	1	4	0.8588298
5	1	5	0.86850905
6	1	6	0.86626321
7	1	7	0.85237461
8	1	8	0.82770318
9	1	9	0.79358625
10	1	10	0.75170523
11	1	11	0.70393515
12	2	1	0.87859827
13	2	2	0.927284
14	2	3	0.96484774
15	2	4	0.98946607
16	2	5	1
17	2	6	0.99609458
18	2	7	0.97818756
19	2	8	0.94743574
20	2	9	0.9055745
21	2	10	0.85473865
22	2	11	0.79726756
23	3	1	0.87694883
24	3	2	0.92595005
25	3	3	0.96387523
26	3	4	0.98887163
27	3	5	0.9997642
28	3	6	0.99615985
29	3	7	0.97846216
30	3	8	0.94780421
31	3	9	0.90591198
32	3	10	0.85492736
33	3	11	0.79721147
34	4	1	0.75901723
35	4	2	0.80067986
36	4	3	0.83331835
37	4	4	0.85534698
38	4	5	0.8657769
39	4	6	0.8641693
40	4	7	0.85073274
41	4	8	0.82627553
42	4	9	0.79211426
43	4	10	0.74994481
44	4	11	0.70168787
