Point	Row	Column	Co_at
1	1	1	0.21410027
2	1	2	0.1996474
3	1	3	0.18689042
4	1	4	0.17427529
5	1	5	0.16151661
6	1	6	0.15004051
7	1	7	0.13913549
8	1	8	0.1312964
9	1	9	0.1238764
10	1	10	0.117954
11	1	11	0.11400421
12	2	1	0.21815149
13	2	2	0.2070109
14	2	3	0.1945349
15	2	4	0.18099871
16	2	5	0.1676107
17	2	6	0.1570913
18	2	7	0.1453521
19	2	8	0.1369807
20	2	9	0.13063942
21	2	10	0.1238703
22	2	11	0.1197298
23	3	1	0.2132868
24	3	2	0.19992982
25	3	3	0.18903629
26	3	4	0.17664631
27	3	5	0.16663051
28	3	6	0.1542117
29	3	7	0.1442814
30	3	8	0.13820842
31	3	9	0.1309922
32	3	10	0.1261469
33	3	11	0.12228079
34	4	1	0.19809498
35	4	2	0.18785121
36	4	3	0.17576671
37	4	4	0.16484091
38	4	5	0.15403168
39	4	6	0.14575788
40	4	7	0.1380787
41	4	8	0.13316642
42	4	9	0.12762691
43	4	10	0.1234958
44	4	11	0.1180249
