Point	Row	Column	Zr_at
1	1	1	0.12275429
2	1	2	0.12951989
3	1	3	0.13163771
4	1	4	0.1355817
5	1	5	0.136967
6	1	6	0.1403348
7	1	7	0.1448018
8	1	8	0.1435184
9	1	9	0.1452394
10	1	10	0.1448766
11	1	11	0.14143701
12	2	1	0.12885781
13	2	2	0.13679621
14	2	3	0.1405234
15	2	4	0.14816262
16	2	5	0.15191589
17	2	6	0.15617929
18	2	7	0.1597027
19	2	8	0.1615715
20	2	9	0.16166462
21	2	10	0.16271681
22	2	11	0.16087531
23	3	1	0.13773569
24	3	2	0.14585102
25	3	3	0.1551262
26	3	4	0.1627083
27	3	5	0.16735759
28	3	6	0.17475151
29	3	7	0.18012729
30	3	8	0.18285692
31	3	9	0.18224619
32	3	10	0.18584611
33	3	11	0.18242759
34	4	1	0.14954019
35	4	2	0.15870661
36	4	3	0.166715
37	4	4	0.17485359
38	4	5	0.18677138
39	4	6	0.18971407
40	4	7	0.1951012
41	4	8	0.19784282
42	4	9	0.20047902
43	4	10	0.1992206
44	4	11	0.19975729
