Point	Row	Column	MaxInt_111
1	1	1	1107.34
2	1	2	1279.1395
3	1	3	1365.2792
4	1	4	1591.4154
5	1	5	1570.0466
6	1	6	1719.2982
7	1	7	1831.2371
8	1	8	1753.225
9	1	9	1613.7242
10	1	10	1465.2844
11	1	11	1262.2327
12	2	1	1390.7426
13	2	2	1558.1453
14	2	3	1660.5334
15	2	4	1680.661
16	2	5	1809.1631
17	2	6	2001.4032
18	2	7	2192.2622
19	2	8	1764.3396
20	2	9	1654.4283
21	2	10	1565.5177
22	2	11	1444.1865
23	3	1	1118.2084
24	3	2	1194.5269
25	3	3	1452.7887
26	3	4	1564.4583
27	3	5	1451.1077
28	3	6	1528.3358
29	3	7	1453.9333
30	3	8	1189.3811
31	3	9	1101.8763
32	3	10	1246.4225
33	3	11	1099.0511
34	4	1	377.35193
35	4	2	697.479
36	4	3	975.48773
37	4	4	1153.517
38	4	5	1259.4415
39	4	6	1269.4556
40	4	7	1228.4528
41	4	8	1114.1315
42	4	9	816.6167
43	4	10	482.32944
44	4	11	404.94336
