Point	Row	Column	_s_Area
1	1	1	0.40733957
2	1	2	0.43298745
3	1	3	0.43775296
4	1	4	0.41824681
5	1	5	0.42926413
6	1	6	0.43685839
7	1	7	0.43830052
8	1	8	0.44083723
9	1	9	0.4323172
10	1	10	0.43262532
11	1	11	0.42467165
12	2	1	0.42315739
13	2	2	0.43854612
14	2	3	0.44444215
15	2	4	0.43703219
16	2	5	0.43228507
17	2	6	0.43484145
18	2	7	0.43344781
19	2	8	0.43015414
20	2	9	0.42982158
21	2	10	0.43361107
22	2	11	0.42726687
23	3	1	0.42590383
24	3	2	0.4381589
25	3	3	0.43240607
26	3	4	0.43863392
27	3	5	0.4395217
28	3	6	0.4360148
29	3	7	0.43172732
30	3	8	0.43145934
31	3	9	0.43510965
32	3	10	0.4357588
33	3	11	0.44462919
34	4	1	0.42504507
35	4	2	0.43898073
36	4	3	0.43277189
37	4	4	0.4350248
38	4	5	0.43948254
39	4	6	0.44035789
40	4	7	0.43549663
41	4	8	0.43312463
42	4	9	0.43410635
43	4	10	0.43490487
44	4	11	0.43401909
