Point	Row	Column	_s_FWHM
1	1	1	0.4789702
2	1	2	0.46857265
3	1	3	0.45320538
4	1	4	0.43432686
5	1	5	0.41875729
6	1	6	0.40277079
7	1	7	0.38659412
8	1	8	0.3653135
9	1	9	0.3484211
10	1	10	0.33576846
11	1	11	0.31743863
12	2	1	0.50256258
13	2	2	0.48760483
14	2	3	0.4698137
15	2	4	0.45134169
16	2	5	0.43353075
17	2	6	0.41092125
18	2	7	0.38990882
19	2	8	0.36837739
20	2	9	0.34955472
21	2	10	0.33650735
22	2	11	0.3182857
23	3	1	0.48959416
24	3	2	0.47249666
25	3	3	0.46315792
26	3	4	0.44390458
27	3	5	0.42288169
28	3	6	0.40458649
29	3	7	0.38709474
30	3	8	0.36480737
31	3	9	0.34551796
32	3	10	0.32814121
33	3	11	0.31915593
34	4	1	0.45675582
35	4	2	0.44753006
36	4	3	0.43351921
37	4	4	0.41808429
38	4	5	0.40222371
39	4	6	0.38522848
40	4	7	0.37263101
41	4	8	0.36078104
42	4	9	0.34178901
43	4	10	0.32734561
44	4	11	0.30951333
