Point	Row	Column	110_s_Area
1	1	1	0.3378548
2	1	2	0.3586762
3	1	3	0.3810114
4	1	4	0.4005518
5	1	5	0.41436559
6	1	6	0.42234191
7	1	7	0.42190754
8	1	8	0.40244803
9	1	9	0.38653836
10	1	10	0.3630904
11	1	11	0.34225881
12	2	1	0.2971426
13	2	2	0.30892339
14	2	3	0.3237038
15	2	4	0.33765277
16	2	5	0.34840941
17	2	6	0.3498638
18	2	7	0.34209481
19	2	8	0.32587421
20	2	9	0.30706921
21	2	10	0.28349161
22	2	11	0.2664426
23	3	1	0.25589359
24	3	2	0.26332641
25	3	3	0.27319956
26	3	4	0.2797156
27	3	5	0.28263399
28	3	6	0.28151819
29	3	7	0.27075338
30	3	8	0.25556961
31	3	9	0.24517858
32	3	10	0.2327752
33	3	11	0.22065178
34	4	1	0.23369338
35	4	2	0.2377916
36	4	3	0.23843078
37	4	4	0.2373808
38	4	5	0.23954301
39	4	6	0.2359506
40	4	7	0.2308884
41	4	8	0.21874902
42	4	9	0.21452522
43	4	10	0.21213442
44	4	11	0.21140698
