Point	Row	Column	Y_at
1	1	1	0.035593301
2	1	2	0.033978499
3	1	3	0.035617702
4	1	4	0.035259299
5	1	5	0.035897199
6	1	6	0.037981894
7	1	7	0.040354595
8	1	8	0.043098703
9	1	9	0.046782296
10	1	10	0.051716
11	1	11	0.055497602
12	2	1	0.030666601
13	2	2	0.032027502
14	2	3	0.033503599
15	2	4	0.034374095
16	2	5	0.037091698
17	2	6	0.039660901
18	2	7	0.0449831
19	2	8	0.049846102
20	2	9	0.0566024
21	2	10	0.059151102
22	2	11	0.0661797
23	3	1	0.024276597
24	3	2	0.0264969
25	3	3	0.029793898
26	3	4	0.0332096
27	3	5	0.035890002
28	3	6	0.042379402
29	3	7	0.046989996
30	3	8	0.052203201
31	3	9	0.056919996
32	3	10	0.065566003
33	3	11	0.070317291
34	4	1	0.019663697
35	4	2	0.0195255
36	4	3	0.022190798
37	4	4	0.024146199
38	4	5	0.0251678
39	4	6	0.028251
40	4	7	0.0314437
41	4	8	0.035382304
42	4	9	0.042664003
43	4	10	0.047358103
44	4	11	0.054351494
