Point	Row	Column	Pos_200
1	1	1	44.152985
2	1	2	44.172245
3	1	3	44.15852
4	1	4	44.187279
5	1	5	44.134541
6	1	6	44.153774
7	1	7	44.117531
8	1	8	44.093483
9	1	9	44.109287
10	1	10	44.085251
11	1	11	44.052879
12	2	1	44.151417
13	2	2	44.153542
14	2	3	44.107368
15	2	4	44.104946
16	2	5	44.103725
17	2	6	44.089458
18	2	7	44.075584
19	2	8	44.094101
20	2	9	44.058193
21	2	10	44.024563
22	2	11	44.041267
23	3	1	44.137829
24	3	2	44.09095
25	3	3	44.060352
26	3	4	44.026932
27	3	5	44.008183
28	3	6	43.991699
29	3	7	43.995182
30	3	8	43.97102
31	3	9	43.962643
32	3	10	43.968834
33	3	11	43.948906
34	4	1	44.076488
35	4	2	44.049877
36	4	3	43.989811
37	4	4	43.981064
38	4	5	43.910637
39	4	6	43.917061
40	4	7	43.87513
41	4	8	43.864788
42	4	9	43.847904
43	4	10	43.851822
44	4	11	43.860767
