Point	Row	Column	Frac_111
1	1	1	0.25238565
2	1	2	0.25851849
3	1	3	0.30792937
4	1	4	0.3572844
5	1	5	0.38663587
6	1	6	0.39328536
7	1	7	0.39124519
8	1	8	0.36669773
9	1	9	0.30988938
10	1	10	0.21241139
11	1	11	0.14591908
12	2	1	0.30997607
13	2	2	0.35751992
14	2	3	0.3887853
15	2	4	0.41333103
16	2	5	0.42776006
17	2	6	0.42272544
18	2	7	0.40113348
19	2	8	0.37990302
20	2	9	0.31637794
21	2	10	0.20102985
22	2	11	0.11807858
23	3	1	0.1959496
24	3	2	0.27134842
25	3	3	0.30896667
26	3	4	0.32617375
27	3	5	0.33889598
28	3	6	0.32895452
29	3	7	0.3022567
30	3	8	0.26429418
31	3	9	0.18075545
32	3	10	0.11083536
33	3	11	0.070229746
34	4	1	0.087212972
35	4	2	0.097224146
36	4	3	0.11216442
37	4	4	0.11851174
38	4	5	0.12308496
39	4	6	0.113011
40	4	7	0.10918608
41	4	8	0.089262687
42	4	9	0.077971175
43	4	10	0.070406191
44	4	11	0.063599288
