Point	Row	Column	_s_Sigma
1	1	1	0.14677441
2	1	2	0.14409322
3	1	3	0.1460242
4	1	4	0.14327741
5	1	5	0.14264859
6	1	6	0.14067979
7	1	7	0.13393421
8	1	8	0.1299846
9	1	9	0.13345002
10	1	10	0.13025761
11	1	11	0.12150382
12	2	1	0.14654979
13	2	2	0.1393768
14	2	3	0.1432942
15	2	4	0.13794862
16	2	5	0.1450122
17	2	6	0.1366064
18	2	7	0.13970779
19	2	8	0.13341241
20	2	9	0.125728
21	2	10	0.12842581
22	2	11	0.12944022
23	3	1	0.135471
24	3	2	0.1386686
25	3	3	0.1345312
26	3	4	0.1382968
27	3	5	0.13938479
28	3	6	0.12973639
29	3	7	0.13341039
30	3	8	0.1281938
31	3	9	0.13022019
32	3	10	0.13600701
33	3	11	0.11552119
34	4	1	0.12997261
35	4	2	0.1278048
36	4	3	0.13861918
37	4	4	0.12571579
38	4	5	0.1254712
39	4	6	0.12436441
40	4	7	0.12681261
41	4	8	0.1268288
42	4	9	0.129013
43	4	10	0.11432079
44	4	11	0.114633
