Point	Row	Column	110_s_Position
1	1	1	0.26542759
2	1	2	0.26300657
3	1	3	0.26742581
4	1	4	0.2648648
5	1	5	0.26648399
6	1	6	0.2703768
7	1	7	0.27403939
8	1	8	0.27318799
9	1	9	0.28209218
10	1	10	0.28268477
11	1	11	0.27968678
12	2	1	0.26395482
13	2	2	0.26318899
14	2	3	0.26238599
15	2	4	0.2644828
16	2	5	0.26759341
17	2	6	0.2713294
18	2	7	0.26824638
19	2	8	0.27422199
20	2	9	0.27603161
21	2	10	0.28346044
22	2	11	0.2754328
23	3	1	0.27914339
24	3	2	0.27449659
25	3	3	0.27945781
26	3	4	0.27480763
27	3	5	0.27637818
28	3	6	0.27911279
29	3	7	0.277455
30	3	8	0.27945077
31	3	9	0.28650042
32	3	10	0.28739241
33	3	11	0.28343961
34	4	1	0.27138817
35	4	2	0.27167019
36	4	3	0.27730179
37	4	4	0.27479541
38	4	5	0.2787458
39	4	6	0.27878338
40	4	7	0.28265679
41	4	8	0.2845816
42	4	9	0.28509799
43	4	10	0.29152361
44	4	11	0.3005788
