Point	Row	Column	_s_Position
1	1	1	0.19720243
2	1	2	0.19529675
3	1	3	0.19694838
4	1	4	0.19503783
5	1	5	0.19717735
6	1	6	0.1957842
7	1	7	0.19622852
8	1	8	0.1928665
9	1	9	0.19669479
10	1	10	0.19266805
11	1	11	0.18157589
12	2	1	0.19552532
13	2	2	0.19409573
14	2	3	0.19381148
15	2	4	0.19524421
16	2	5	0.19509022
17	2	6	0.19705988
18	2	7	0.19600219
19	2	8	0.19565897
20	2	9	0.19483674
21	2	10	0.19491963
22	2	11	0.18182398
23	3	1	0.19688533
24	3	2	0.19545271
25	3	3	0.19856921
26	3	4	0.19606315
27	3	5	0.19553669
28	3	6	0.19558874
29	3	7	0.19575323
30	3	8	0.19607082
31	3	9	0.19558471
32	3	10	0.19210654
33	3	11	0.17947035
34	4	1	0.19579005
35	4	2	0.19637352
36	4	3	0.1977725
37	4	4	0.19675131
38	4	5	0.1965137
39	4	6	0.19680627
40	4	7	0.19764303
41	4	8	0.19634078
42	4	9	0.19570981
43	4	10	0.19179285
44	4	11	0.18496238
