Point	Row	Column	Fe_at
1	1	1	0.088092297
2	1	2	0.0932943
3	1	3	0.0977621
4	1	4	0.10397011
5	1	5	0.1071978
6	1	6	0.113889
7	1	7	0.1200863
8	1	8	0.1259573
9	1	9	0.13221671
10	1	10	0.14086749
11	1	11	0.15316489
12	2	1	0.08649189
13	2	2	0.092601292
14	2	3	0.096271299
15	2	4	0.10233879
16	2	5	0.10881581
17	2	6	0.11326539
18	2	7	0.1182354
19	2	8	0.1269349
20	2	9	0.13044889
21	2	10	0.13911301
22	2	11	0.14885879
23	3	1	0.090115108
24	3	2	0.095033802
25	3	3	0.099985398
26	3	4	0.104996
27	3	5	0.11204033
28	3	6	0.1163264
29	3	7	0.12269419
30	3	8	0.12702531
31	3	9	0.13363852
32	3	10	0.14100739
33	3	11	0.1494948
34	4	1	0.095826402
35	4	2	0.09967
36	4	3	0.10588539
37	4	4	0.1095598
38	4	5	0.1147443
39	4	6	0.1200267
40	4	7	0.1254469
41	4	8	0.12924342
42	4	9	0.1346281
43	4	10	0.1431621
44	4	11	0.15540409
