Point	Row	Column	110_s_FWHM
1	1	1	21795.203
2	1	2	19762.973
3	1	3	17957.854
4	1	4	21224.844
5	1	5	15415.501
6	1	6	15352.821
7	1	7	14301.971
8	1	8	13406.579
9	1	9	13088.665
10	1	10	13482.618
11	1	11	13303.79
12	2	1	18048.033
13	2	2	17074
14	2	3	16101.394
15	2	4	14785.174
16	2	5	13935.114
17	2	6	13651.17
18	2	7	13001.287
19	2	8	12896.396
20	2	9	12664.988
21	2	10	13036.131
22	2	11	13321.451
23	3	1	15108.094
24	3	2	13508.51
25	3	3	12843.555
26	3	4	12518.019
27	3	5	12524.581
28	3	6	12894.218
29	3	7	12704.008
30	3	8	12576.453
31	3	9	13089.432
32	3	10	16152.723
33	3	11	12913.792
34	4	1	15902.579
35	4	2	16637.219
36	4	3	16668.754
37	4	4	15794.267
38	4	5	15241.86
39	4	6	14893.667
40	4	7	14597.988
41	4	8	14639.025
42	4	9	15831.428
43	4	10	17668.213
44	4	11	19404.826
