Point	Row	Column	Norm_d
1	1	1	0.42504284
2	1	2	0.46410212
3	1	3	0.5068841
4	1	4	0.50422502
5	1	5	0.5002659
6	1	6	0.45429298
7	1	7	0.39833364
8	1	8	0.3289606
9	1	9	0.25267386
10	1	10	0.15588252
11	1	11	-0.0067954855
12	2	1	0.77698988
13	2	2	0.88926315
14	2	3	0.94888616
15	2	4	0.99089998
16	2	5	1
17	2	6	0.96141344
18	2	7	0.89984047
19	2	8	0.28913313
20	2	9	0.20250547
21	2	10	0.10092773
22	2	11	0.023104651
23	3	1	0.52679783
24	3	2	0.65189385
25	3	3	0.76842165
26	3	4	0.33161968
27	3	5	0.8586539
28	3	6	0.39661998
29	3	7	0.38190627
30	3	8	0.34763339
31	3	9	0.3040241
32	3	10	0.21804644
33	3	11	0.11912782
34	4	1	0.036754712
35	4	2	0.11445961
36	4	3	0.19765998
37	4	4	0.30248773
38	4	5	0.39360633
39	4	6	0.42971104
40	4	7	0.43148378
41	4	8	0.036991078
42	4	9	0.033800155
43	4	10	0
44	4	11	0.35058796
