Point	Row	Column	d_um
1	1	1	0.20439
2	1	2	0.21258
3	1	3	0.21586999
4	1	4	0.2146
5	1	5	0.21014
6	1	6	0.20218
7	1	7	0.1892
8	1	8	0.17281
9	1	9	0.15628999
10	1	10	0.13952
11	1	11	0.12367
12	2	1	0.24517
13	2	2	0.2586
14	2	3	0.26458001
15	2	4	0.26646
16	2	5	0.26210001
17	2	6	0.25055
18	2	7	0.23428001
19	2	8	0.2158
20	2	9	0.19452
21	2	10	0.17179
22	2	11	0.15232
23	3	1	0.22664
24	3	2	0.23818
25	3	3	0.24710999
26	3	4	0.24764
27	3	5	0.24405999
28	3	6	0.23604999
29	3	7	0.22206999
30	3	8	0.20706999
31	3	9	0.18739
32	3	10	0.16752
33	3	11	0.14772999
34	4	1	0.16418999
35	4	2	0.1723
36	4	3	0.17873999
37	4	4	0.17964999
38	4	5	0.17821001
39	4	6	0.17422
40	4	7	0.16726001
41	4	8	0.15789001
42	4	9	0.14523999
43	4	10	0.13189
44	4	11	0.11942
