Point	Row	Column	FWHM_200
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	0.83416039
6	1	6	0.83218992
7	1	7	0.78544426
8	1	8	0.71141672
9	1	9	0.64307928
10	1	10	
11	1	11	
12	2	1	0.80937564
13	2	2	0.75435311
14	2	3	0.75684971
15	2	4	0.73354089
16	2	5	0.68058318
17	2	6	0.66084248
18	2	7	0.69570106
19	2	8	0.69659019
20	2	9	0.71817684
21	2	10	0.70358866
22	2	11	0.81695181
23	3	1	0.78108811
24	3	2	0.75844002
25	3	3	0.74051708
26	3	4	0.71400321
27	3	5	0.68249649
28	3	6	0.80036843
29	3	7	0.71312726
30	3	8	0.74785489
31	3	9	0.75661504
32	3	10	0.74082965
33	3	11	0.6977765
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	0.71201718
41	4	8	
42	4	9	
43	4	10	
44	4	11	
