Point	Row	Column	110_s_Sigma
1	1	1	0.047286063
2	1	2	0.047965486
3	1	3	0.050195049
4	1	4	0.054541957
5	1	5	0.50122768
6	1	6	
7	1	7	0.97805548
8	1	8	0.07958886
9	1	9	0.055941556
10	1	10	
11	1	11	
12	2	1	0.043675497
13	2	2	0.043224759
14	2	3	0.043748017
15	2	4	0.058091957
16	2	5	0.84992021
17	2	6	
18	2	7	0.78071874
19	2	8	
20	2	9	
21	2	10	
22	2	11	0.18215933
23	3	1	0.044407677
24	3	2	0.044753999
25	3	3	0.043106571
26	3	4	0.044852067
27	3	5	0.059133615
28	3	6	0.077796608
29	3	7	0.081053853
30	3	8	0.070287965
31	3	9	0.058395546
32	3	10	0.054185133
33	3	11	0.053688832
34	4	1	0.049101952
35	4	2	0.049072821
36	4	3	0.04904183
37	4	4	0.049576022
38	4	5	0.049217183
39	4	6	0.050011877
40	4	7	0.049268361
41	4	8	0.051997796
42	4	9	0.053285271
43	4	10	0.052027877
44	4	11	0.052816324
