Point	Row	Column	x_mm
1	1	1	5.402
2	1	2	9.3999996
3	1	3	13.39799
4	1	4	17.396
5	1	5	21.396
6	1	6	25.392
7	1	7	29.39002
8	1	8	33.388008
9	1	9	37.386009
10	1	10	41.383991
11	1	11	45.381989
12	2	1	5.402
13	2	2	9.4019804
14	2	3	13.39799
15	2	4	17.396
16	2	5	21.39399
17	2	6	25.392
18	2	7	29.39002
19	2	8	33.388008
20	2	9	37.386009
21	2	10	41.383991
22	2	11	45.383991
23	3	1	5.4039998
24	3	2	9.3999996
25	3	3	13.39799
26	3	4	17.397989
27	3	5	21.39399
28	3	6	25.392
29	3	7	29.39002
30	3	8	33.388008
31	3	9	37.386009
32	3	10	41.383991
33	3	11	45.381989
34	4	1	5.4000001
35	4	2	9.3999996
36	4	3	13.39799
37	4	4	17.396
38	4	5	21.39399
39	4	6	25.392
40	4	7	29.39002
41	4	8	33.388008
42	4	9	37.386009
43	4	10	41.383991
44	4	11	45.381989
