FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba0.8762Co0.67721Fe0.02474Y0.06052Zr0.23752O3,01505,1,1,1,4.1109538,0.29076999,0.45468217,0.50113571,0.87162316,7785.3691,1626.2905,407.68082000000004,30.720654999999997,37.844563,44.096077,203.53,145.746,0.8900036388146364,2.1500087903949083,1.4900060919480993,137.3275614690984,1.7081649999999997,1.4259615,0.8086218666666667,68.33986080794999,0.87619641762208,0.5210290802203749,1.5077607567910551,1.8426487748720695,2.009479677680629,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.8579Co0.67979Fe0.02334Y0.06113Zr0.23574O3,01505,2,1,2,4.1076832,0.31839001,0.48558187,0.50311828,0.70855707,7483.9277,2038.6272,357.54202000000004,30.745724,37.869884000000006,44.026306,207.528,145.746,0.8900032898335828,2.15000794735079,1.4900055076989196,137.32750762132181,1.7088302,1.4258235000000001,0.8085142666666667,68.30557929955,0.8578968288339347,0.520826053889721,1.5079060959163526,1.842893278608301,2.010487415955881,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.88166Co0.70026Fe0.02356Y0.05009Zr0.22609O3,01505,3,1,3,4.109272499999999,0.34271999999999997,0.50797808,0.44986966,0.66502982,7055.8511,2569.97,352.20517,30.733535999999997,37.85751,44.089946999999995,211.52598999999998,145.746,0.8900005739149112,2.1500013864236616,1.49000096082384,137.3270885550708,1.7214131,1.4189365,0.804649,67.66239551720001,0.8816594314634896,0.517017428248287,1.5152202980356495,1.8517402753546455,2.029592471643452,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.87423Co0.70935Fe0.02101Y0.04662Zr0.22303O3,01505,4,1,4,4.1091638,0.36607999,0.51120239,0.4066827,0.66819239,7151.6104,3225.5916,405.87908999999996,30.734369,37.86142,44.005424,215.524,145.746,0.8899965829055879,2.1499917452213637,1.4899942792464336,137.32647274233221,1.7255325999999997,1.4166490000000003,0.8032188750000001,67.46804477025,0.8742333565594579,0.5157807988707881,1.5176601580358744,1.855028966103957,2.0354298573490937,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.88009Co0.7127Fe0.01983Y0.04567Zr0.22179O3,01505,5,1,5,4.1046052,0.38640001,0.50278193,0.38018501,,7357.3242,3871.1819,,30.769346000000002,37.898266,,219.52199,145.746,0.8900008620897749,2.1500020825764223,1.4900014432738928,137.32713302045227,1.7268629999999998,1.4158874999999997,0.8027324416666668,67.40199555599999,0.8800891475102753,0.5153859119627758,1.5184836949096752,1.8561619861535548,2.0374342315481737,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.87161Co0.7194Fe0.01925Y0.04182Zr0.21952O3,01505,6,1,6,4.1069698,0.39917001,0.52050537,0.39838037,,7362.0381,3872.9854,,30.751194,37.886165999999996,,223.52199,145.746,0.8899987604430737,2.149997005564728,1.4899979247867188,137.32680873636627,1.7306815,1.413672,0.8014296250000001,67.21509186,0.8716112139457498,0.5142475726718485,1.5208598639321766,1.8591750021553277,2.0430948606363515,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.87778Co0.72831Fe0.01514Y0.04337Zr0.21318O3,01505,7,1,7,4.1057167,0.41152999,0.51547217,0.41963303,0.67980421,7755.5547,3332.2808,340.81311,30.760813,37.896824,44.098766,227.51799,145.746,0.8900021376933942,2.1500051640907833,1.4900035788350081,137.32732984609072,1.7333697999999997,1.4129095000000003,0.8009313000000001,67.07010758495,0.8777778916629208,0.5134519695066767,1.5216863954066293,1.8603388066304911,2.0475191525845395,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.86924Co0.73925Fe0.01626Y0.03913Zr0.20537O3,01505,8,1,8,4.1037021000000005,0.41100001,0.52365518,0.45614588,,7709.9692,3294.4001,,30.776284999999998,37.921757,,231.51799,145.746,0.8900035409960957,2.150008554091692,1.4900059281844749,137.32754637569755,1.7404264999999999,1.409509,0.7991654666666668,66.68796289424999,0.8692365416143819,0.5113709432694203,1.5253599332048904,1.8644523447682442,2.059255380067072,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.87089Co0.75144Fe0.01567Y0.03579Zr0.1971O3,01505,9,1,9,4.0992818,0.40066999,0.50616819,0.46497411,0.90459901,8043.8867,2963.2207,323.2225,30.810297,37.975483000000004,44.095871,235.51398999999998,145.746,0.8899993971850894,2.1499985437617326,1.4899989907930147,137.3269069856593,1.7471900999999999,1.4063090000000003,0.7974426750000001,66.3220419723,0.8708905898717226,0.5093889881731183,1.5288237106935476,1.8684715999090649,2.0706073411161725,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.88092Co0.75131Fe0.0164Y0.03684Zr0.19546O3,01505,10,1,10,4.1014237,0.38699001,0.49893925,0.48633796,,7823.7080000000005,2655.9141,,30.793806,37.948223,,239.51398999999998,145.746,0.8899952738346312,2.1499885828589402,1.4899920876557309,137.3262707526836,1.7473813999999996,1.4065035,0.7976467166666668,66.29889128945001,0.8809246779727029,0.5093308615020347,1.5286052134665433,1.8679849819759144,2.071320772969487,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
