Point	Row	Column	Ba_at
1	1	1	46.700676
2	1	2	46.175701
3	1	3	46.855419
4	1	4	46.644852
5	1	5	46.811035
6	1	6	46.570099
7	1	7	46.745564
8	1	8	46.502224
9	1	9	46.549519
10	1	10	46.83466
11	1	11	46.088268
12	2	1	46.400265
13	2	2	46.390476
14	2	3	45.856224
15	2	4	46.228539
16	2	5	46.238159
17	2	6	46.405769
18	2	7	46.371948
19	2	8	46.311722
20	2	9	46.228233
21	2	10	46.664459
22	2	11	46.577343
23	3	1	46.461769
24	3	2	46.04707
25	3	3	45.92741
26	3	4	46.137569
27	3	5	46.311771
28	3	6	46.287655
29	3	7	46.141186
30	3	8	46.532284
31	3	9	46.479557
32	3	10	46.755081
33	3	11	46.518299
34	4	1	46.726875
35	4	2	46.247601
36	4	3	46.412056
37	4	4	46.184345
38	4	5	46.274776
39	4	6	46.636505
40	4	7	46.703869
41	4	8	46.67495
42	4	9	46.62059
43	4	10	46.958614
44	4	11	46.88076
