Point	Row	Column	FWHM_200
1	1	1	0.51723069
2	1	2	0.55879885
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	0.47094885
8	1	8	
9	1	9	
10	1	10	0.49122953
11	1	11	0.51554817
12	2	1	0.49093518
13	2	2	
14	2	3	
15	2	4	
16	2	5	0.52066624
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	
24	3	2	
25	3	3	
26	3	4	0.53136766
27	3	5	0.47479379
28	3	6	
29	3	7	0.47721803
30	3	8	0.50576216
31	3	9	
32	3	10	
33	3	11	0.54610401
34	4	1	
35	4	2	0.47264448
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	0.54501903
42	4	9	0.55214459
43	4	10	
44	4	11	
