Point	Row	Column	Frac_111
1	1	1	0.22217198
2	1	2	0.21890356
3	1	3	0.23287652
4	1	4	0.22535561
5	1	5	0.23143725
6	1	6	0.22499727
7	1	7	0.22006084
8	1	8	0.22514603
9	1	9	0.23230563
10	1	10	0.21582963
11	1	11	0.21805505
12	2	1	0.21258126
13	2	2	0.23349302
14	2	3	0.23028255
15	2	4	0.22801039
16	2	5	0.21596517
17	2	6	0.22230127
18	2	7	0.22611281
19	2	8	0.23296848
20	2	9	0.2247346
21	2	10	0.23378758
22	2	11	0.22794096
23	3	1	0.22383033
24	3	2	0.22719721
25	3	3	0.23104846
26	3	4	0.2233333
27	3	5	0.21270955
28	3	6	0.22539641
29	3	7	0.21658297
30	3	8	0.21215393
31	3	9	0.22689287
32	3	10	0.23032457
33	3	11	0.2108161
34	4	1	0.23064128
35	4	2	0.21970265
36	4	3	0.22965747
37	4	4	0.22533841
38	4	5	0.22651286
39	4	6	0.22726308
40	4	7	0.22197081
41	4	8	0.21751526
42	4	9	0.21338592
43	4	10	0.21744683
44	4	11	0.22791488
