Point	Row	Column	MaxInt_200
1	1	1	360.90744
2	1	2	327.66058
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	379.34802
8	1	8	
9	1	9	
10	1	10	385.68167
11	1	11	382.30127
12	2	1	358.38965
13	2	2	
14	2	3	
15	2	4	
16	2	5	360.63324
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	
24	3	2	
25	3	3	
26	3	4	324.64435
27	3	5	409.15933
28	3	6	
29	3	7	339.271
30	3	8	416.37125
31	3	9	
32	3	10	
33	3	11	383.62958
34	4	1	
35	4	2	344.56198
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	359.00418
42	4	9	353.94836
43	4	10	
44	4	11	
