Point	Row	Column	Pos_110
1	1	1	30.463192
2	1	2	30.463482
3	1	3	30.46583
4	1	4	30.462879
5	1	5	30.462952
6	1	6	30.461935
7	1	7	30.462656
8	1	8	30.460634
9	1	9	30.459181
10	1	10	30.463959
11	1	11	30.455278
12	2	1	30.470251
13	2	2	30.468893
14	2	3	30.470903
15	2	4	30.465261
16	2	5	30.465803
17	2	6	30.466171
18	2	7	30.463776
19	2	8	30.460558
20	2	9	30.459524
21	2	10	30.462147
22	2	11	30.456997
23	3	1	30.471233
24	3	2	30.466339
25	3	3	30.468601
26	3	4	30.469206
27	3	5	30.470633
28	3	6	30.465414
29	3	7	30.465258
30	3	8	30.46706
31	3	9	30.465923
32	3	10	30.463295
33	3	11	30.464869
34	4	1	30.467541
35	4	2	30.468882
36	4	3	30.470146
37	4	4	30.467928
38	4	5	30.46661
39	4	6	30.462318
40	4	7	30.463114
41	4	8	30.464787
42	4	9	30.461349
43	4	10	30.459841
44	4	11	30.45929
